District_Type;Municipality_Name;Area_Code;Population_Total;Pop_Age_0_15;Pop_Age_15_25;Pop_Age_25_45;Pop_Age_45_65;Pop_Age_65_Plus;Avg_Household_Size;Avg_Property_Value_1000EUR;Pct_Unoccupied_Homes;Pct_Owner_Occupied;Pct_Rental;Higher_Education_Count;Avg_Income_Per_Income_Recipient_1000EUR;Avg_Income_Per_Inhabitant_1000EUR;Avg_Std_Household_Income_1000EUR;Pct_Lowest_40Pct_Income;Pct_Highest_20Pct_Income;Pct_Low_Income_Households;Pct_Below_120Pct_Social_Min;Urbanization_Level
Leliegracht e.o.;Amsterdam;BU03630201;1825;125;360;625;440;270;1,5;811.0;22.0;40.0;59.0;1050.0;75,9;64,3;68,8;38,8;32,1;6,9;9,2;1.0
Felix Meritisbuurt;Amsterdam;BU03630202;2055;125;220;790;605;315;1,5;787.0;24.0;42.0;57.0;1410.0;79;68,4;67;40,1;28,6;8,3;10,8;1.0
Leidsegracht Noord;Amsterdam;BU03630203;685;45;85;255;185;120;1,6;919.0;20.0;43.0;56.0;130.0;77,4;66,3;58,1;40,2;34,7;8,5;9,3;1.0
Grachtengordel-Zuid;Amsterdam;WK036303;5435;460;720;2090;1365;800;1,6;818.0;24.0;39.0;60.0;3190.0;75,1;62,9;63;41;28,4;8,3;10;1.0
Spiegelbuurt;Amsterdam;BU03630300;820;85;80;355;195;105;1,6;823.0;29.0;42.0;56.0;470.0;67,5;55,5;57,3;34,8;31,4;9,2;9,4;1.0
Gouden Bocht;Amsterdam;BU03630301;145;15;25;50;35;25;1,6;1054.0;27.0;41.0;57.0;50.0;82,6;66,8;63;41;28,4;8,3;10;1.0
Van Loonbuurt;Amsterdam;BU03630302;1415;115;190;460;390;255;1,6;936.0;20.0;47.0;53.0;830.0;68,3;56,8;61,1;39,9;29;6,3;8,2;1.0
Amstelveldbuurt;Amsterdam;BU03630303;1515;150;205;460;445;250;1,7;828.0;20.0;45.0;54.0;910.0;75,1;62,9;86,6;41,9;31,4;8,3;10,4;1.0
Rembrandtpleinbuurt;Amsterdam;BU03630304;490;25;55;290;85;40;1,4;590.0;25.0;26.0;73.0;330.0;57,1;51,3;42,6;43,4;20,4;8,9;10,6;1.0
Reguliersbuurt;Amsterdam;BU03630305;390;20;90;225;50;10;1,5;524.0;29.0;13.0;86.0;;36,9;33;31,8;54,7;13,5;15,3;16,3;1.0
Leidsegracht Zuid;Amsterdam;BU03630306;660;45;75;245;175;115;1,6;832.0;26.0;33.0;65.0;400.0;61,2;51,7;57,4;38,9;31,9;6,8;8,6;1.0
Nieuwmarkt/Lastage;Amsterdam;WK036304;9710;760;1095;3315;2755;1780;1,5;492.0;11.0;30.0;70.0;5250.0;44,5;38,8;35,2;52,3;17,5;10,8;18,3;1.0
Oosterdokseiland;Amsterdam;BU03630400;480;60;25;210;125;50;1,7;658.0;13.0;46.0;53.0;270.0;70,2;57,7;59,1;33,3;33,3;6,4;8,8;1.0
Scheepvaarthuisbuurt;Amsterdam;BU03630401;740;55;125;290;165;105;1,6;634.0;16.0;36.0;63.0;420.0;43,1;37,5;35,7;48,9;21,6;7,2;9,2;1.0
Rapenburg;Amsterdam;BU03630402;1005;100;210;370;240;90;1,6;;13.0;25.0;74.0;530.0;42,9;35,5;34,5;50,7;18,5;9,2;15;1.0
Lastage;Amsterdam;BU03630403;1090;85;120;415;310;165;1,5;480.0;12.0;35.0;65.0;710.0;45,9;40,2;35,2;49,5;19;9,9;14,9;1.0
Nieuwmarkt;Amsterdam;BU03630404;1605;120;135;410;520;420;1,5;428.0;6.0;17.0;83.0;690.0;34,2;30,1;28,3;63,6;11,6;15,9;28;1.0
Uilenburg;Amsterdam;BU03630405;1225;80;115;460;365;200;1,5;489.0;10.0;36.0;64.0;690.0;51,8;45,8;39,5;46,4;21,2;10,2;16,2;1.0
Valkenburg;Amsterdam;BU03630406;1200;100;115;380;330;270;1,5;454.0;10.0;43.0;56.0;670.0;45,7;39,8;34,6;50,3;17,9;7,4;17,3;1.0
Zuiderkerkbuurt;Amsterdam;BU03630407;1495;80;150;480;475;320;1,4;522.0;14.0;22.0;78.0;780.0;42,7;38,6;34;54,8;15,3;12,7;21,5;1.0
Waterloopleinbuurt;Amsterdam;BU03630408;865;70;100;290;240;165;1,4;472.0;10.0;28.0;72.0;460.0;41,6;36,6;33,3;54,7;12,7;10,5;18,3;1.0
Haarlemmerbuurt;Amsterdam;WK036305;9275;930;815;3130;2775;1625;1,6;524.0;10.0;30.0;70.0;4760.0;44,7;38,3;36,6;49,4;20,1;11,4;19,3;1.0
Westerdokseiland;Amsterdam;BU03630500;1880;255;135;550;565;375;1,9;691.0;7.0;43.0;57.0;910.0;55,1;45,6;45,5;31,7;32,4;7,1;14,6;1.0
Haarlemmerbuurt Oost;Amsterdam;BU03630501;1490;110;160;545;425;245;1,5;517.0;15.0;25.0;75.0;860.0;42,4;36,9;34,8;51,7;17;9,6;16,9;1.0
Haarlemmerbuurt West;Amsterdam;BU03630502;2465;230;240;860;725;420;1,6;484.0;11.0;25.0;74.0;1030.0;42,7;36,7;36,4;53,2;18,5;13,3;21,3;1.0
Westelijke eilanden;Amsterdam;BU03630503;2930;305;250;930;920;525;1,6;512.0;8.0;34.0;66.0;1650.0;42,7;36,3;34,5;51,2;18,8;11,9;20,1;1.0
Planciusbuurt Noord;Amsterdam;BU03630505;350;25;20;190;85;35;1,4;331.0;4.0;10.0;90.0;210.0;35,9;32,7;27,5;63,9;8,3;14,7;22,8;1.0
Planciusbuurt Zuid;Amsterdam;BU03630506;165;10;10;65;55;30;1,4;327.0;15.0;1.0;99.0;80.0;37,6;34,6;28,7;74,4;6,6;22,3;34,8;1.0
Jordaan;Amsterdam;WK036306;19400;1515;1890;7335;5395;3270;1,5;468.0;11.0;27.0;73.0;11040.0;43,8;38,7;36,4;54,2;16,1;12,4;20,1;1.0
Driehoekbuurt;Amsterdam;BU03630600;2735;210;240;1145;730;415;1,5;424.0;10.0;27.0;72.0;1700.0;44;39;35;54,7;15,5;14;21,2;1.0
Bloemgrachtbuurt;Amsterdam;BU03630602;2945;275;305;1080;795;490;1,6;535.0;14.0;33.0;66.0;1760.0;48,7;41,6;45,1;47,9;19,8;9,4;16,1;1.0
Marnixbuurt Noord;Amsterdam;BU03630603;1430;120;135;520;410;240;1,6;389.0;11.0;16.0;83.0;700.0;36,2;31,8;29,2;59,9;13,1;13,7;23,7;1.0
Zaagpoortbuurt;Amsterdam;BU03630604;965;50;125;515;205;75;1,3;302.0;7.0;15.0;84.0;500.0;33,6;30,7;25,6;69,4;6,8;18,1;27,3;1.0
Marnixbuurt Midden;Amsterdam;BU03630605;195;15;20;120;30;10;1,6;505.0;16.0;44.0;56.0;130.0;43,6;39;42,3;42,4;20,3;7,5;11,2;1.0
Elandsgrachtbuurt;Amsterdam;BU03630606;4325;350;420;1630;1200;740;1,5;478.0;12.0;25.0;75.0;2490.0;45,2;39,8;39,2;54,3;16,8;12,3;21;1.0
Passeerdersgrachtbuurt;Amsterdam;BU03630607;860;50;80;315;240;170;1,4;581.0;16.0;37.0;61.0;580.0;51,3;45,6;38,6;51,2;18,5;12,5;21,1;1.0
Groenmarktkadebuurt;Amsterdam;BU03630608;245;10;45;145;30;15;1,4;453.0;16.0;32.0;68.0;130.0;47,4;43,9;44,7;44,4;18,8;3,6;5;1.0
Marnixbuurt Zuid;Amsterdam;BU03630609;675;30;30;290;135;195;1,3;427.0;10.0;15.0;85.0;380.0;44,7;41,5;33;56,8;11,8;10,4;17,1;1.0
Anjeliersbuurt Noord;Amsterdam;BU03630610;2085;185;235;645;650;370;1,6;515.0;12.0;30.0;70.0;1040.0;46;40,5;38;51;19,3;11;17,5;1.0
Anjeliersbuurt Zuid;Amsterdam;BU03630611;2935;225;260;935;970;545;1,5;471.0;9.0;27.0;73.0;1540.0;39,8;35,1;31;55,3;14,9;13,3;21,6;1.0
De Weteringschans;Amsterdam;WK036307;7295;685;870;3030;1750;955;1,6;613.0;16.0;38.0;62.0;4390.0;60,4;51,1;45,9;42,6;25;8,7;12,5;1.0
Leidsebuurt Noordwest;Amsterdam;BU03630700;260;5;40;135;60;20;1,3;507.0;19.0;38.0;61.0;200.0;42,2;39,5;33;51,9;12,3;8,4;12,3;1.0
Leidsebuurt Zuidwest;Amsterdam;BU03630701;135;5;20;65;30;15;1,4;528.0;32.0;15.0;85.0;70.0;45,5;40,8;45,9;42,6;25;8,7;12,5;1.0
Leidsebuurt Noordoost;Amsterdam;BU03630702;1010;45;205;535;155;70;1,4;519.0;21.0;27.0;72.0;550.0;46,8;41,8;37;50,2;14,9;8,9;13,6;1.0
Leidsebuurt Zuidoost;Amsterdam;BU03630703;290;35;30;110;75;40;1,5;600.0;19.0;31.0;69.0;150.0;51,4;41,9;36,4;47;20,4;10,4;15,2;1.0
Weteringbuurt;Amsterdam;BU03630704;2425;280;250;1070;545;280;1,6;567.0;15.0;40.0;60.0;1580.0;70,5;58,5;50,3;40,7;25,4;8,7;11,3;1.0
Den Texbuurt;Amsterdam;BU03630705;1080;130;115;375;275;190;1,8;779.0;11.0;43.0;56.0;610.0;60,4;48,9;45,6;39,6;32,4;7,6;12,7;1.0
Utrechtsebuurt Zuid;Amsterdam;BU03630706;1170;100;125;410;340;205;1,6;636.0;14.0;39.0;60.0;600.0;56,6;48,3;48,9;42,8;26,2;9;13,3;1.0
Frederikspleinbuurt;Amsterdam;BU03630707;925;95;85;330;275;140;1,6;725.0;13.0;44.0;55.0;570.0;65;55,2;50,8;33,4;33,8;8,1;11,7;1.0
Weesperbuurt/Plantage;Amsterdam;WK036308;7480;635;990;2745;1940;1170;1,5;543.0;13.0;35.0;65.0;4220.0;52;45,1;54,4;47,7;22,2;9,5;15;1.0
Weesperbuurt;Amsterdam;BU03630800;3105;205;480;1120;720;585;1,4;529.0;15.0;30.0;69.0;1730.0;51,7;46;54,4;52,9;19,3;10,1;17,7;1.0
Sarphatistrook;Amsterdam;BU03630801;2170;185;255;895;625;215;1,6;519.0;9.0;27.0;72.0;1210.0;50,8;43,8;39,1;48,6;21,1;11,2;16,4;1.0
de Plantage;Amsterdam;BU03630803;1805;190;225;550;510;335;1,6;598.0;12.0;48.0;52.0;1060.0;54,2;45,8;54,4;37,8;28,5;6,7;9,5;1.0
Alexanderplein e.o.;Amsterdam;BU03630804;395;55;35;180;85;35;1,6;518.0;11.0;46.0;53.0;230.0;50,6;41,5;37,4;44,3;24,5;9,1;11,1;1.0
Oostelijke Eilanden/Kadijken;Amsterdam;WK036309;13690;1450;1635;4540;3945;2115;1,6;439.0;4.0;30.0;70.0;6660.0;38,7;33,2;31,5;52,9;16,8;12,7;20,7;1.0
Marine-Etablissement;Amsterdam;BU03630900;75;10;0;30;30;10;1,7;;;;;60.0;38,7;33,2;31,5;52,9;16,8;12,7;20,7;1.0
Kattenburg;Amsterdam;BU03630901;1725;165;355;475;370;360;1,6;409.0;2.0;24.0;76.0;640.0;28,6;24,9;23,8;64,8;11,5;11,8;22,6;1.0
Wittenburg;Amsterdam;BU03630902;2560;225;215;895;860;370;1,6;403.0;3.0;30.0;70.0;1030.0;35,8;30,9;30,3;52,4;13,5;11,3;20;1.0
Oostenburg;Amsterdam;BU03630903;1730;195;175;620;515;230;1,7;420.0;3.0;29.0;71.0;930.0;38,3;32,9;31,7;51,7;17,7;15,1;24;1.0
Czaar Peterbuurt;Amsterdam;BU03630904;2395;265;265;1115;520;245;1,6;353.0;4.0;22.0;78.0;1200.0;37,2;32;29,3;57;14,7;14,9;22,3;1.0
Het Funen;Amsterdam;BU03630905;1340;275;190;335;415;130;2,1;601.0;3.0;61.0;39.0;650.0;55,3;41,4;42,2;30,9;36,9;6,3;11,8;1.0
Kazernebuurt;Amsterdam;BU03630907;955;55;130;290;280;200;1,5;463.0;5.0;24.0;75.0;570.0;37,6;34,6;30,4;55,5;13,2;14;21,9;1.0
Kadijken;Amsterdam;BU03630908;2905;260;310;790;965;585;1,6;501.0;5.0;32.0;68.0;1590.0;42,2;36,8;35,1;50,6;18,1;13;19,9;1.0
Westelijk Havengebied;Amsterdam;WK036310;105;5;15;40;25;15;1,5;;47.0;23.0;77.0;;;25,6;;;;;;4.0
Coenhaven/Mercuriushaven;Amsterdam;BU03631000;25;0;5;10;5;0;1,5;;;;;;;25,6;;;;;;2.0
Alfa-driehoek;Amsterdam;BU03631001;0;0;0;0;5;0;1;;;;;;;25,6;;;;;;5.0
Petroleumhaven;Amsterdam;BU03631002;0;0;0;0;0;0;1;;;;;;;25,6;;;;;;5.0
Westhaven Noord;Amsterdam;BU03631003;40;0;5;15;5;10;1,9;;;;;;;25,6;;;;;;5.0
Vervoerscentrum;Amsterdam;BU03631004;5;0;0;0;0;0;1;;;;;;;25,6;;;;;;5.0
Amerikahaven;Amsterdam;BU03631005;15;0;0;0;10;5;1,2;;;;;;;25,6;;;;;;5.0
Afrikahaven;Amsterdam;BU03631006;10;0;5;0;5;5;1,8;;;;;;;25,6;;;;;;5.0
Westhaven Zuid;Amsterdam;BU03631007;15;0;0;10;0;0;1,6;;;;;;;25,6;;;;;;5.0
Bedrijventerrein Sloterdijk;Amsterdam;WK036311;835;10;360;410;45;5;1,2;146.0;14.0;0.0;100.0;260.0;25,3;23,4;19,4;82,9;1,2;21,1;24;3.0
Sloterdijk II;Amsterdam;BU03631100;15;0;5;0;10;0;1,4;;;;;;25,3;23,4;19,4;82,9;1,2;21,1;24;4.0
Sloterdijk III Oost;Amsterdam;BU03631102;0;0;0;0;0;0;;;;;;;25,3;23,4;19,4;82,9;1,2;21,1;24;4.0
Sloterdijk III West;Amsterdam;BU03631103;95;0;40;30;15;0;1,2;;48.0;3.0;97.0;;25,3;23,4;19,4;82,9;1,2;21,1;24;5.0
De Heining;Amsterdam;BU03631104;30;0;0;5;10;5;2,2;;;;;;25,3;23,4;19,4;82,9;1,2;21,1;24;5.0
Teleport;Amsterdam;BU03631105;695;0;320;370;10;0;1,2;135.0;11.0;0.0;100.0;230.0;26,3;24,7;20;82,3;1;18,2;19,3;2.0
Bretten Oost;Amsterdam;BU03631107;0;0;0;0;0;0;1;;;;;;25,3;23,4;19,4;82,9;1,2;21,1;24;2.0
Bretten West;Amsterdam;BU03631109;0;0;0;0;0;0;;;;;;;25,3;23,4;19,4;82,9;1,2;21,1;24;5.0
Houthavens;Amsterdam;WK036312;2950;550;165;1185;805;245;2;683.0;17.0;54.0;45.0;2050.0;69,2;53,6;53;24,1;43,6;6,3;8,3;1.0
Houthavens West;Amsterdam;BU03631200;2280;490;120;1010;535;120;2,1;697.0;21.0;53.0;46.0;1670.0;76,5;57,4;57,9;19,1;50,6;5;6,3;1.0
Houthavens Oost;Amsterdam;BU03631201;670;60;40;170;265;130;1,6;633.0;5.0;58.0;42.0;370.0;47,3;40,9;40,2;37;25,5;9,8;13,6;1.0
Spaarndammer- en Zeeheldenbuurt;Amsterdam;WK036313;10780;1380;875;4260;2885;1380;1,7;389.0;4.0;23.0;77.0;4140.0;34,8;29,5;28,8;56,6;12,4;15,5;24,8;1.0
Zeeheldenbuurt;Amsterdam;BU03631300;2055;315;185;805;520;230;1,8;413.0;3.0;29.0;71.0;910.0;37,8;31,5;31,3;49,9;14,7;13;21,8;1.0
Spaarndammerbuurt Noordoost;Amsterdam;BU03631301;2730;320;235;960;870;345;1,6;386.0;3.0;21.0;79.0;960.0;31,5;26,8;26,4;62,1;9,6;18,8;29,2;1.0
Spaarndammerbuurt Zuidoost;Amsterdam;BU03631302;1025;120;75;400;290;140;1,6;368.0;4.0;29.0;71.0;;35,4;30,5;30,1;53,9;13,2;12,4;21,9;1.0
Spaarndammerbuurt Zuidwest;Amsterdam;BU03631303;1685;205;105;655;360;365;1,6;361.0;7.0;29.0;71.0;810.0;37,6;31,7;30;56,6;14;14,3;25,2;1.0
Spaarndammerbuurt Midden;Amsterdam;BU03631304;1300;165;110;575;330;115;1,7;375.0;3.0;24.0;76.0;370.0;35;29,5;28,6;57,7;12,3;13,7;22,9;1.0
Spaarndammerbuurt Noordwest;Amsterdam;BU03631305;1980;255;150;870;520;190;1,7;415.0;3.0;11.0;89.0;710.0;34,1;28,9;28,4;55,3;12,8;16,7;23,5;1.0
Westergasfabriek;Amsterdam;BU03631306;0;0;0;0;0;0;;;;;;;34,8;29,5;28,8;56,6;12,4;15,5;24,8;1.0
Overbraker Binnenpolder;Amsterdam;BU03631307;10;0;5;0;5;0;1,5;;;;;;34,8;29,5;28,8;56,6;12,4;15,5;24,8;2.0
Staatsliedenbuurt;Amsterdam;WK036314;13105;1460;1165;5615;3555;1310;1,6;389.0;5.0;29.0;70.0;6620.0;39;33,4;31,7;51,6;15,7;13,2;21,2;1.0
De Wittenbuurt Noord;Amsterdam;BU03631400;1365;170;120;550;365;160;1,6;415.0;9.0;23.0;76.0;650.0;41,6;34,7;32,9;54;16,7;12,9;20,6;1.0
De Wittenbuurt Zuid;Amsterdam;BU03631401;885;85;80;245;305;160;1,6;402.0;2.0;22.0;77.0;280.0;30,8;26,9;26,5;63,3;9,1;19,3;30,4;1.0
Staatsliedenbuurt Noordoost;Amsterdam;BU03631402;1215;110;90;370;345;300;1,6;352.0;3.0;19.0;81.0;460.0;30,9;27,3;26,2;63,5;9,4;14,6;30,9;1.0
Fannius Scholtenbuurt;Amsterdam;BU03631403;3690;410;320;1700;990;270;1,6;352.0;5.0;28.0;71.0;1960.0;38,4;32,9;30,5;54,6;13,4;15,6;22,3;1.0
Westerstaatsman;Amsterdam;BU03631404;2875;300;270;1500;680;125;1,6;358.0;5.0;37.0;63.0;1620.0;39,4;34,2;32;48,1;15,3;11,7;17,6;1.0
Buyskade e.o.;Amsterdam;BU03631405;3080;385;290;1245;870;295;1,8;477.0;4.0;33.0;67.0;1640.0;43,7;36,9;36,5;40,7;23,8;9,1;16,3;1.0
Centrale Markt;Amsterdam;WK036315;2465;305;315;755;815;280;1,9;447.0;3.0;39.0;61.0;1050.0;37,8;32,1;35,6;43,5;21,7;10,1;17,6;1.0
Ecowijk;Amsterdam;BU03631500;1315;190;200;290;515;120;2,1;506.0;2.0;50.0;50.0;620.0;38,3;31,8;37,9;34,3;26,4;7,6;14,2;1.0
Markthallen;Amsterdam;BU03631501;15;0;0;5;0;5;1,9;;;;;;37,8;32,1;35,6;43,5;21,7;10,1;17,6;1.0
Bedrijvencentrum Westerkwartier;Amsterdam;BU03631502;70;10;5;15;35;0;2;;;;;;37,8;32,1;35,6;43,5;21,7;10,1;17,6;1.0
Marcanti;Amsterdam;BU03631503;1070;105;110;440;270;150;1,6;390.0;3.0;29.0;71.0;510.0;37,4;32,8;33,6;52,8;16,9;12,6;21,4;1.0
Frederik Hendrikbuurt;Amsterdam;WK036316;8280;785;655;3815;2030;990;1,6;399.0;7.0;30.0;70.0;4310.0;42;36,6;32,8;51;16,7;12,8;20,1;1.0
Frederik Hendrikbuurt Noord;Amsterdam;BU03631600;3855;390;340;1800;885;440;1,6;401.0;5.0;28.0;71.0;2140.0;40,3;34,9;31,9;51,2;17,3;11,9;19,5;1.0
Frederik Hendrikbuurt Zuidoost;Amsterdam;BU03631601;3290;285;225;1685;765;330;1,5;372.0;5.0;29.0;71.0;1620.0;43,1;37,8;32,2;52,5;14,7;14,3;21,2;1.0
Frederik Hendrikbuurt Zuidwest;Amsterdam;BU03631602;1135;110;90;335;385;215;1,7;468.0;16.0;35.0;65.0;570.0;45,2;39,6;37,6;45,8;20,7;11,2;18,6;1.0
Da Costabuurt;Amsterdam;WK036317;4660;465;405;2100;1100;595;1,6;474.0;8.0;32.0;68.0;2730.0;46,3;40,1;35,9;47;20,8;9,4;16;1.0
Da Costabuurt Noord;Amsterdam;BU03631700;4660;465;400;2100;1100;595;1,6;474.0;8.0;32.0;68.0;2730.0;46,3;40,1;35,9;47;20,8;9,4;16;1.0
Kinkerbuurt;Amsterdam;WK036318;6670;725;635;3255;1500;560;1,6;416.0;8.0;25.0;75.0;3080.0;43;37,3;33,5;50,6;16,9;12,1;18,4;1.0
Bellamybuurt Noord;Amsterdam;BU03631800;2710;295;245;1225;695;250;1,6;450.0;6.0;24.0;76.0;1050.0;40,4;34,2;31,5;53,1;16,8;12,7;20,2;1.0
Bellamybuurt Zuid;Amsterdam;BU03631801;3955;425;390;2030;805;310;1,6;397.0;9.0;26.0;74.0;2040.0;44,7;39,3;34,7;49,2;16,9;11,8;17,2;1.0
Van Lennepbuurt;Amsterdam;WK036319;7085;655;675;2975;1775;1005;1,6;375.0;5.0;24.0;76.0;3460.0;36,4;31,8;29,5;57,9;12,2;15;26;1.0
Da Costabuurt Zuid;Amsterdam;BU03631900;2275;200;250;1200;455;170;1,5;410.0;8.0;33.0;67.0;1290.0;43,2;37,8;32,8;50,8;15,6;11,1;16,7;1.0
Borgerbuurt;Amsterdam;BU03631901;2900;285;275;885;815;645;1,6;349.0;3.0;18.0;82.0;1160.0;29,6;25,8;26,2;64,9;8,6;16,8;33,5;1.0
Lootsbuurt;Amsterdam;BU03631902;1910;180;155;890;495;190;1,5;369.0;5.0;23.0;77.0;1060.0;38,5;33,8;30,3;56,5;13,4;16,8;25,8;1.0
Helmersbuurt;Amsterdam;WK036320;7360;815;765;3070;1860;845;1,7;539.0;9.0;35.0;65.0;4280.0;52,1;44,3;39,5;44,9;24;9,4;15,1;1.0
Helmersbuurt Oost;Amsterdam;BU03632000;2595;310;310;1155;565;255;1,7;618.0;9.0;39.0;60.0;1560.0;56,5;46,9;43,6;40,7;27,2;5,9;9,2;1.0
WG-terrein;Amsterdam;BU03632001;2470;245;230;815;745;435;1,6;522.0;9.0;27.0;73.0;1380.0;44,5;38,9;35,5;51,7;20,2;13,5;22,3;1.0
Cremerbuurt Oost;Amsterdam;BU03632002;2290;260;230;1100;545;155;1,6;478.0;7.0;39.0;61.0;1370.0;55,7;47,1;39,6;41,9;24,7;8,3;13,2;1.0
Overtoomse Sluis;Amsterdam;WK036321;8010;855;725;3960;1745;720;1,6;479.0;6.0;34.0;66.0;4920.0;50,9;43,7;39,1;43,2;23,5;8,2;13,5;1.0
Cremerbuurt West;Amsterdam;BU03632100;5755;595;490;3000;1235;435;1,6;447.0;6.0;32.0;68.0;3570.0;48,7;42,1;38,3;43,1;22,4;8,8;13,9;1.0
Vondelparkbuurt West;Amsterdam;BU03632101;2250;260;235;965;510;280;1,7;571.0;8.0;40.0;60.0;1350.0;57;47,7;41,3;43,3;26,6;6,5;12,3;1.0
Vondelbuurt;Amsterdam;WK036322;1770;225;200;520;475;345;1,7;966.0;16.0;45.0;55.0;990.0;74,1;59,2;62;42;31,3;8,7;13,6;1.0
Vondelparkbuurt Oost;Amsterdam;BU03632200;850;100;95;295;225;135;1,7;1079.0;22.0;50.0;50.0;520.0;82,4;67;64,7;35,2;34,6;9,4;9,9;1.0
Vondelparkbuurt Midden;Amsterdam;BU03632201;920;125;105;230;255;205;1,8;838.0;10.0;40.0;60.0;460.0;65,8;51,6;59,2;48,9;27,9;7,9;17,3;1.0
Zuidas;Amsterdam;WK036323;3950;410;600;2315;495;130;1,5;509.0;14.0;17.0;83.0;2370.0;75;61,7;50,5;44,9;29,3;3,9;5,4;1.0
Zuidas Noord;Amsterdam;BU03632300;475;60;25;315;60;15;1,7;676.0;6.0;16.0;83.0;290.0;70,9;58,5;49;29,3;40,2;1,3;1,3;1.0
RAI;Amsterdam;BU03632301;0;0;0;0;0;0;;;;;;;75;61,7;50,5;44,9;29,3;3,9;5,4;1.0
VU-kwartier;Amsterdam;BU03632302;115;20;15;55;15;5;1,4;594.0;18.0;63.0;37.0;70.0;75;61,7;50,5;44,9;29,3;3,9;5,4;2.0
Zuidas Zuid;Amsterdam;BU03632303;2375;285;130;1485;375;105;1,7;706.0;19.0;21.0;78.0;1520.0;94,2;76;68,1;25,5;39,6;2,1;2,6;1.0
Vivaldi;Amsterdam;BU03632304;985;50;430;455;45;5;1,1;179.0;7.0;8.0;92.0;500.0;30,9;26,8;20,2;85,8;7,1;11,9;18,2;1.0
