District_Type;Municipality_Name;Area_Code;Population_Total;Pop_Age_0_15;Pop_Age_15_25;Pop_Age_25_45;Pop_Age_45_65;Pop_Age_65_Plus;Avg_Household_Size;Avg_Property_Value_1000EUR;Pct_Unoccupied_Homes;Pct_Owner_Occupied;Pct_Rental;Higher_Education_Count;Avg_Income_Per_Income_Recipient_1000EUR;Avg_Income_Per_Inhabitant_1000EUR;Avg_Std_Household_Income_1000EUR;Pct_Lowest_40Pct_Income;Pct_Highest_20Pct_Income;Pct_Low_Income_Households;Pct_Below_120Pct_Social_Min;Urbanization_Level
Driehoekbuurt;Amsterdam;BU0363AB02;2730;185;305;1080;705;455;1,4;507.0;9.0;27.0;73.0;1540.0;49,8;43;40,7;56,2;13,8;11,9;20,3;1.0
Anjeliersbuurt-Noord;Amsterdam;BU0363AB03;2110;150;245;700;625;390;1,5;610.0;9.0;30.0;70.0;1090.0;49,8;44,4;40,7;51,5;17,2;9,8;17,3;1.0
Zaagpoortbuurt;Amsterdam;BU0363AB04;945;45;135;455;220;85;1,3;364.0;7.0;16.0;84.0;;49,8;44,4;40,7;72,1;6,1;17,1;28,1;1.0
Anjeliersbuurt-Zuid;Amsterdam;BU0363AB05;2950;215;325;965;875;575;1,5;549.0;8.0;26.0;73.0;1400.0;47,4;42,4;40,7;55,9;14,7;10,6;20,4;1.0
Marnixbuurt-Midden;Amsterdam;BU0363AB06;200;15;25;110;35;20;1,8;590.0;12.0;46.0;54.0;;49,8;44,4;40,7;39,5;27,4;4,4;7;1.0
Bloemgrachtbuurt;Amsterdam;BU0363AB07;3020;230;405;1155;755;480;1,5;630.0;12.0;33.0;66.0;1650.0;54,2;47,5;40,7;49,7;18,1;9,7;16,7;1.0
Groenmarktkadebuurt;Amsterdam;BU0363AB08;320;20;70;175;40;25;1,5;569.0;12.0;36.0;64.0;;49,8;44,4;40,7;44,7;23,3;5,5;10,4;1.0
Marnixbuurt-Zuid;Amsterdam;BU0363AB09;685;25;55;275;135;190;1,3;505.0;10.0;14.0;86.0;;49,8;44,4;40,7;59,3;10,8;12,3;18,7;1.0
Elandsgrachtbuurt;Amsterdam;BU0363AB10;4310;315;500;1590;1085;820;1,5;558.0;11.0;25.0;75.0;2320.0;50,1;44,6;44;55,8;15;10,7;19,9;1.0
Passeerdersgrachtbuurt;Amsterdam;BU0363AB11;935;60;90;365;225;185;1,5;674.0;10.0;37.0;61.0;510.0;49,8;44,4;40,7;49,7;17,8;12,3;20,2;1.0
Grachtengordel-West;Amsterdam;WK0363AC;6630;425;1000;2435;1640;1135;1,5;911.0;20.0;42.0;57.0;4040.0;74,9;64,9;70,1;41,1;28,6;8,4;10,9;1.0
Langestraat e.o.;Amsterdam;BU0363AC01;1920;150;250;625;505;390;1,6;907.0;19.0;49.0;50.0;990.0;74,9;64,9;70,1;38,7;29,6;7,9;10,6;1.0
Leliegracht e.o.;Amsterdam;BU0363AC02;1875;120;330;715;425;275;1,5;901.0;20.0;40.0;59.0;1210.0;74,9;64,9;70,1;42,3;28,7;8,7;10,3;1.0
Felix Meritisbuurt;Amsterdam;BU0363AC03;2120;110;305;825;535;345;1,5;878.0;21.0;39.0;60.0;1440.0;74,9;64,9;70,1;41,4;26,8;8,1;11,3;1.0
Leidsegracht-Noord;Amsterdam;BU0363AC04;715;45;110;265;170;125;1,5;1051.0;21.0;42.0;57.0;380.0;74,9;64,9;70,1;43,4;30,9;10,1;11,8;1.0
Burgwallen-Nieuwe Zijde;Amsterdam;WK0363AD;4380;150;850;2240;775;355;1,4;520.0;17.0;20.0;79.0;2430.0;46,5;42,7;40;53,7;13,2;9,6;13,5;1.0
Stationsplein e.o.;Amsterdam;BU0363AD01;5;0;0;0;0;0;1;;;;;;46,5;42,7;40;53,7;13,2;9,6;13,5;1.0
Hemelrijk;Amsterdam;BU0363AD02;555;20;90;275;135;40;1,4;480.0;19.0;28.0;71.0;350.0;46,5;42,7;40;55,8;12,4;11,9;15,6;1.0
Nieuwendijk-Noord;Amsterdam;BU0363AD03;500;15;90;270;90;30;1,4;505.0;19.0;15.0;84.0;;46,5;42,7;40;57,9;8,8;13,5;17,4;1.0
Spuistraat-Noord;Amsterdam;BU0363AD04;870;30;170;450;150;70;1,4;547.0;13.0;27.0;72.0;;46,5;42,7;40;51,1;13,7;8,3;10,7;1.0
Nieuwe Kerk e.o.;Amsterdam;BU0363AD05;825;40;190;400;155;45;1,5;498.0;14.0;21.0;79.0;;46,5;42,7;40;50,3;15,1;6,5;9,5;1.0
Spuistraat-Zuid;Amsterdam;BU0363AD06;810;30;145;410;140;80;1,4;527.0;16.0;16.0;83.0;;46,5;42,7;40;53,1;15,8;11,5;16,5;1.0
Begijnhofbuurt;Amsterdam;BU0363AD07;475;0;80;250;65;80;1,3;498.0;18.0;8.0;91.0;;46,5;42,7;40;59,9;9,7;8,4;16,2;1.0
Kalverdriehoek;Amsterdam;BU0363AD08;345;10;90;180;45;15;1,4;619.0;22.0;20.0;79.0;;46,5;42,7;40;50,5;14,8;6,8;8,6;1.0
Burgwallen-Oude Zijde;Amsterdam;WK0363AE;4740;185;915;2250;920;470;1,4;540.0;16.0;19.0;81.0;2550.0;42,9;39,2;34,6;60,4;10,1;12,9;18,9;1.0
Kop Zeedijk;Amsterdam;BU0363AE01;1185;50;185;580;265;105;1,4;476.0;15.0;21.0;79.0;;42,9;39,2;34,6;57,4;9,5;12,3;17,7;1.0
Oude Kerk e.o.;Amsterdam;BU0363AE02;755;20;195;350;120;70;1,4;556.0;20.0;13.0;86.0;;42,9;39,2;34,6;64,6;9,9;13,2;20,7;1.0
Burgwallen-Oost;Amsterdam;BU0363AE03;1675;75;300;805;320;175;1,4;527.0;15.0;18.0;82.0;930.0;42,9;39,2;34,6;63;8,6;14,1;20,7;1.0
Nes e.o.;Amsterdam;BU0363AE04;395;15;85;195;75;30;1,5;668.0;21.0;29.0;71.0;;42,9;39,2;34,6;41,1;17,4;7,4;11,1;1.0
BG-terrein e.o.;Amsterdam;BU0363AE05;730;35;155;315;140;95;1,4;590.0;11.0;20.0;80.0;440.0;42,9;39,2;34,6;64,7;11,2;13,7;19,3;1.0
Nieuwmarkt/Lastage;Amsterdam;WK0363AF;10010;680;1335;3475;2500;2030;1,5;582.0;10.0;29.0;70.0;5480.0;52;46,2;48,5;51,1;17,9;8,5;17,3;1.0
Oosterdokseiland;Amsterdam;BU0363AF01;555;60;35;240;155;65;1,6;832.0;20.0;46.0;53.0;;52;46,2;48,5;32;27,9;5,4;8,3;1.0
Lastage;Amsterdam;BU0363AF02;1120;70;115;440;310;180;1,6;588.0;11.0;34.0;66.0;680.0;52;46,2;48,5;44,8;20,1;6,8;13,4;1.0
Scheepvaarthuisbuurt;Amsterdam;BU0363AF03;780;45;175;280;170;105;1,6;755.0;12.0;39.0;60.0;460.0;52;46,2;48,5;45,1;21,2;6,5;8;1.0
Rapenburg;Amsterdam;BU0363AF04;1015;80;225;390;205;115;1,5;493.0;10.0;24.0;76.0;;52;46,2;48,5;51,2;18,1;6,9;11,4;1.0
Nieuwmarkt;Amsterdam;BU0363AF05;1580;110;170;400;420;485;1,4;506.0;7.0;16.0;84.0;660.0;52;46,2;48,5;63,1;10,7;12,1;27,1;1.0
Uilenburg;Amsterdam;BU0363AF06;1255;70;140;470;335;240;1,5;577.0;8.0;36.0;64.0;740.0;52;46,2;48,5;44,9;23,2;9,9;17,7;1.0
Valkenburg;Amsterdam;BU0363AF07;1210;85;155;405;275;295;1,5;555.0;10.0;41.0;59.0;630.0;52;46,2;48,5;49;18,5;4,5;14,8;1.0
Zuiderkerkbuurt;Amsterdam;BU0363AF08;1600;95;190;550;410;360;1,4;626.0;11.0;21.0;78.0;880.0;52;46,2;48,5;56,6;16,1;11;20,9;1.0
Waterloopleinbuurt;Amsterdam;BU0363AF09;900;60;125;310;215;185;1,5;546.0;9.0;29.0;71.0;460.0;52;46,2;48,5;52,8;15,3;7,7;17,1;1.0
Grachtengordel-Zuid;Amsterdam;WK0363AG;5875;400;935;2350;1380;815;1,5;933.0;19.0;37.0;63.0;3040.0;75,3;65,1;67,8;41,7;25,3;7,8;9,3;1.0
Leidsegracht-Zuid;Amsterdam;BU0363AG01;710;55;85;305;155;115;1,6;914.0;22.0;32.0;66.0;450.0;75,3;65,1;67,8;39,6;27,6;7,2;9,1;1.0
Geelvinckbuurt;Amsterdam;BU0363AG02;350;15;85;190;40;25;1,4;743.0;19.0;16.0;83.0;;75,3;65,1;67,8;51,8;13,8;7,2;9;1.0
Rembrandtplein e.o.;Amsterdam;BU0363AG03;900;45;165;495;145;50;1,4;633.0;20.0;17.0;82.0;;75,3;65,1;67,8;45,4;13,5;8;9,1;1.0
Spiegelbuurt;Amsterdam;BU0363AG04;890;65;145;310;250;115;1,6;976.0;25.0;42.0;57.0;510.0;75,3;65,1;67,8;39,9;29,3;6,5;6,9;1.0
Vijzelstraatbuurt;Amsterdam;BU0363AG05;1450;100;220;520;350;260;1,6;1104.0;17.0;46.0;53.0;670.0;75,3;65,1;67,8;40;30,7;7,8;9,4;1.0
Amstelveldbuurt;Amsterdam;BU0363AG06;1580;125;235;530;440;245;1,6;973.0;15.0;42.0;57.0;980.0;75,3;65,1;67,8;40,3;28,3;8,7;10,6;1.0
De Weteringschans;Amsterdam;WK0363AH;7670;560;1140;3240;1700;1035;1,6;717.0;12.0;37.0;62.0;4540.0;62,9;55,1;77,4;43,5;23,3;7,9;11,8;1.0
Leidsebuurt-Noordwest;Amsterdam;BU0363AH01;290;10;50;160;45;15;1,4;537.0;13.0;37.0;62.0;;62,9;55,1;77,4;49;14,6;5,6;7,3;1.0
Leidsebuurt-Noordoost;Amsterdam;BU0363AH02;1115;45;260;565;165;65;1,4;603.0;16.0;27.0;72.0;;62,9;55,1;77,4;50;14,5;8,7;11,3;1.0
Weteringbuurt;Amsterdam;BU0363AH03;2455;200;340;1065;550;305;1,6;679.0;11.0;39.0;61.0;1420.0;62,9;55,1;77,4;42,8;23,4;7,7;11,5;1.0
Utrechtsebuurt-Zuid;Amsterdam;BU0363AH04;1220;90;135;455;315;215;1,5;750.0;13.0;39.0;60.0;720.0;62,9;55,1;77,4;42,1;23,6;8;12,8;1.0
Leidsebuurt-Zuidwest;Amsterdam;BU0363AH05;165;5;35;75;35;15;1,5;563.0;15.0;15.0;85.0;;62,9;55,1;77,4;62,6;15,9;7,9;11,8;1.0
Leidsebuurt-Zuidoost;Amsterdam;BU0363AH06;305;25;45;120;70;45;1,5;650.0;14.0;26.0;73.0;;62,9;55,1;77,4;49,5;18,9;8,5;12,1;1.0
Den Texbuurt;Amsterdam;BU0363AH07;1170;105;165;440;255;195;1,7;898.0;10.0;46.0;54.0;620.0;62,9;55,1;77,4;38,8;30,4;6,5;11,5;1.0
Frederikspleinbuurt;Amsterdam;BU0363AH08;960;70;105;355;255;170;1,6;857.0;10.0;46.0;54.0;580.0;62,9;55,1;77,4;36,8;32,1;8,9;13;1.0
Weesperbuurt/Plantage;Amsterdam;WK0363AJ;8020;620;1220;3000;1720;1460;1,5;649.0;12.0;33.0;67.0;3740.0;57,8;51;57;46,5;22,3;8;13,6;1.0
Weesperbuurt;Amsterdam;BU0363AJ01;3160;205;505;1160;655;640;1,5;619.0;15.0;30.0;69.0;1390.0;57;51,6;57;51,9;18,8;7,9;15,5;1.0
Plantage;Amsterdam;BU0363AJ02;2520;210;330;880;545;550;1,6;708.0;10.0;37.0;63.0;1140.0;57,8;51;57;36;26,7;6,6;9,6;1.0
Sarphatistrook;Amsterdam;BU0363AJ03;1955;165;340;790;435;230;1,5;625.0;9.0;29.0;71.0;1070.0;57,8;51;57;51;21,6;10;16,6;1.0
Alexanderplein e.o.;Amsterdam;BU0363AJ04;390;40;45;175;90;35;1,7;646.0;10.0;49.0;51.0;;57,8;51;57;40,6;28,2;6,3;7,7;1.0
Oostelijke Eilanden/Kadijken;Amsterdam;WK0363AK;15480;1300;1730;6145;3785;2535;1,6;511.0;5.0;29.0;71.0;7730.0;45,6;40,2;37,6;51,2;16;9,9;18,7;1.0
Marine-Etablissement;Amsterdam;BU0363AK01;100;10;10;35;35;20;2;;;;;;45,6;40,2;37,6;51,2;16;9,9;18,7;1.0
Kattenburg;Amsterdam;BU0363AK02;1695;175;365;425;350;380;1,6;475.0;4.0;25.0;75.0;560.0;45,6;40,2;37,6;63,5;12,5;9,4;22,3;1.0
Wittenburg;Amsterdam;BU0363AK03;2570;210;190;915;820;440;1,6;470.0;5.0;31.0;69.0;1120.0;45,6;40,2;37,6;51,4;14,7;10,5;21,1;1.0
Oostenburg;Amsterdam;BU0363AK04;3675;220;370;2205;560;320;1,5;452.0;6.0;20.0;80.0;2050.0;50,9;46,2;37,6;45,7;15,5;7,2;13,3;1.0
Czaar Peterbuurt;Amsterdam;BU0363AK05;2355;220;275;1040;555;265;1,6;428.0;5.0;24.0;76.0;1130.0;45,6;40,2;37,6;57;13,2;13,9;23;1.0
Het Funen;Amsterdam;BU0363AK06;1275;215;155;335;420;155;2,1;709.0;3.0;61.0;39.0;670.0;45,6;40,2;37,6;35,1;33,7;5,4;11,7;1.0
Kadijken;Amsterdam;BU0363AK07;2885;205;285;855;835;700;1,5;608.0;4.0;34.0;66.0;1610.0;46,9;41,6;37,6;50,8;16,8;9,8;18,5;1.0
Kazernebuurt;Amsterdam;BU0363AK08;925;45;80;335;215;255;1,5;540.0;5.0;23.0;77.0;480.0;45,6;40,2;37,6;54,4;11,8;13,1;22,8;1.0
Havens-West;Amsterdam;WK0363BA;25;0;0;10;5;5;1,8;;;;;;;;;;;;;5.0
Afrikahaven;Amsterdam;BU0363BA01;5;0;0;0;0;0;2,5;;;;;;;;;;;;;5.0
Amerikahaven;Amsterdam;BU0363BA02;5;0;0;5;0;0;1;;;;;;;;;;;;;5.0
Westhaven-Noord;Amsterdam;BU0363BA03;5;0;0;5;0;0;3;;;;;;;;;;;;;5.0
Petroleumhaven;Amsterdam;BU0363BA04;0;0;0;0;0;0;1;;;;;;;;;;;;;5.0
Vervoerscentrum;Amsterdam;BU0363BA05;0;0;0;0;0;0;;;;;;;;;;;;;;5.0
Westhaven-Zuid;Amsterdam;BU0363BA06;10;0;0;5;0;0;1,8;;;;;;;;;;;;;5.0
Coenhaven/Minervahaven;Amsterdam;WK0363BB;1535;20;830;590;90;0;1;;;;;;;;;96,4;0,3;;;2.0
Coenhaven;Amsterdam;BU0363BB01;690;25;145;445;80;0;1;;;;;;;;;96,4;0,3;;;5.0
Vlothaven;Amsterdam;BU0363BB02;0;0;0;0;0;0;;;;;;;;;;96,4;0,3;;;5.0
Minervahaven-Noordoost;Amsterdam;BU0363BB03;825;0;685;130;10;0;1;;;;;;;;;97,8;0;;;2.0
Minervahaven-Noordwest;Amsterdam;BU0363BB04;5;0;0;0;0;0;1;;;;;;;;;96,4;0,3;;;2.0
Minervahaven-Zuidwest;Amsterdam;BU0363BB05;0;0;0;0;0;0;;;;;;;;;;96,4;0,3;;;1.0
Minervahaven-Zuidoost;Amsterdam;BU0363BB06;10;0;0;10;0;0;1,4;;;;;;;;;96,4;0,3;;;1.0
Alfa-driehoek;Amsterdam;BU0363BB07;5;5;0;5;0;0;2,5;;;;;;;;;96,4;0,3;;;5.0
Hemknoop-Noord;Amsterdam;BU0363BB08;0;0;0;0;0;0;;;;;;;;;;96,4;0,3;;;4.0
Sloterdijk-West;Amsterdam;WK0363EA;1145;80;65;850;125;35;1,7;564.0;7.0;15.0;85.0;;;;;26,9;30,3;5,2;5,8;1.0
Isolatorbuurt;Amsterdam;BU0363EA01;55;0;5;15;30;0;1,5;;;;;;;;;26,9;30,3;5,2;5,8;4.0
Contactbuurt;Amsterdam;BU0363EA02;15;0;5;10;0;5;2,3;;;;;;;;;26,9;30,3;5,2;5,8;2.0
Woon- en Groengebied Sloterdijk;Amsterdam;BU0363EA03;1075;75;55;825;95;35;1,7;567.0;6.0;15.0;85.0;;;;;23,8;32,2;3,4;4,1;1.0
Spaarndammerbuurt/Zeeheldenbuurt;Amsterdam;WK0363EB;10845;1270;955;4240;2830;1540;1,6;450.0;3.0;23.0;77.0;4240.0;42,1;36,2;35;55,6;13,3;12,3;23,3;1.0
Hemknoop-Zuid;Amsterdam;BU0363EB01;0;0;0;0;0;0;1;;;;;;42,1;36,2;35;55,6;13,3;12,3;23,3;4.0
Overbraker Binnenpolder;Amsterdam;BU0363EB02;5;0;0;0;5;5;1,3;;;;;;42,1;36,2;35;55,6;13,3;12,3;23,3;1.0
Zaanstraat emplacement;Amsterdam;BU0363EB03;0;0;0;0;0;0;;;;;;;42,1;36,2;35;55,6;13,3;12,3;23,3;1.0
Spaarndammerbuurt-Noordwest;Amsterdam;BU0363EB04;1920;240;135;825;515;200;1,7;460.0;3.0;10.0;90.0;730.0;42,1;36,2;35;55,5;13,7;13,6;22,3;1.0
Spaarndammerbuurt-Midden;Amsterdam;BU0363EB05;1460;205;125;615;395;115;1,7;477.0;3.0;26.0;74.0;590.0;42,1;36,2;35;52,1;15,7;11,4;20,6;1.0
Spaarndammerbuurt-Zuidwest;Amsterdam;BU0363EB06;1840;185;170;730;370;385;1,5;414.0;4.0;27.0;73.0;760.0;42,1;36,2;35;57,1;13,2;10,4;23;1.0
Spaarndammerbuurt-Noordoost;Amsterdam;BU0363EB07;2615;270;215;960;770;405;1,6;442.0;4.0;22.0;78.0;910.0;42,1;34;35;60;11,2;14,7;26,7;1.0
Zeeheldenbuurt;Amsterdam;BU0363EB08;1965;265;220;700;515;260;1,7;475.0;2.0;27.0;72.0;880.0;42,1;36,2;35;52,3;14,6;11,3;23,1;1.0
Westergasfabriek;Amsterdam;BU0363EB09;5;0;0;0;0;0;3;;;;;;42,1;36,2;35;55,6;13,3;12,3;23,3;1.0
Spaarndammerbuurt-Zuidoost;Amsterdam;BU0363EB10;1030;110;85;405;260;170;1,6;436.0;4.0;32.0;68.0;;42,1;36,2;35;52;13,6;9,7;20,7;1.0
Houthavens;Amsterdam;WK0363EC;5270;885;630;2035;1210;510;1,9;821.0;8.0;50.0;50.0;2640.0;81,1;63,3;;24,2;43,3;4,7;6,6;1.0
Houthavens-West;Amsterdam;BU0363EC01;4625;850;575;1880;965;360;1,9;837.0;8.0;49.0;51.0;2370.0;86,4;65,9;;21;47,3;3,6;5,1;1.0
Houthavens-Oost;Amsterdam;BU0363EC02;640;30;55;160;245;150;1,6;722.0;6.0;56.0;44.0;320.0;81,1;63,3;;39,6;24,8;10,1;13,8;1.0
De Kolenkit;Amsterdam;WK0363ED;12140;1965;1890;5110;2140;1025;1,9;406.0;6.0;19.0;81.0;4140.0;38,3;30,4;32,8;53,6;14,6;12,6;23;1.0
Kolenkitbuurt-Noord;Amsterdam;BU0363ED01;5055;980;740;1980;1010;340;2,2;433.0;2.0;14.0;86.0;1340.0;34,5;26,1;32,8;51,4;14,2;17,3;27;1.0
Kolenkitbuurt-Zuid;Amsterdam;BU0363ED02;2125;335;235;905;425;230;2,1;440.0;11.0;25.0;75.0;630.0;38,3;30,4;32,8;44,5;18,8;9,9;20,7;1.0
Laan van Spartaan;Amsterdam;BU0363ED03;2790;445;570;1225;375;175;1,7;425.0;3.0;19.0;81.0;1350.0;38,3;35,2;32,8;50;17,9;8,2;15,6;1.0
Robert Scottbuurt-West;Amsterdam;BU0363ED04;2165;210;345;1000;335;275;1,5;331.0;12.0;22.0;78.0;;38,3;30,4;32,8;68;8,5;10,6;24,8;1.0
Landlust;Amsterdam;WK0363EE;18790;2420;2310;8340;4090;1630;1,8;415.0;3.0;29.0;70.0;7950.0;41,6;34,6;35,3;50,6;15,2;11,1;20,8;1.0
Bosleeuw;Amsterdam;BU0363EE01;5635;740;905;2220;1245;520;1,9;389.0;3.0;29.0;71.0;2170.0;37,1;30,5;33,3;51,1;14,6;11,7;21,2;1.0
Gibraltarbuurt;Amsterdam;BU0363EE02;4200;490;470;1940;945;360;1,7;376.0;3.0;22.0;77.0;1760.0;39,6;33,4;35,3;55,4;10,3;12,6;22,7;1.0
Bedrijventerrein Landlust;Amsterdam;BU0363EE03;565;40;50;395;60;25;1,5;383.0;6.0;44.0;56.0;;41,6;34,6;35,3;41,7;18,5;5,4;9;1.0
Landlust-Noord;Amsterdam;BU0363EE04;2385;345;280;1070;485;205;1,8;404.0;3.0;26.0;74.0;910.0;41,6;34,6;35,3;52,7;10,9;11,3;23,1;1.0
Erasmusparkbuurt-Oost;Amsterdam;BU0363EE05;1870;275;230;740;455;165;1,9;531.0;3.0;39.0;61.0;940.0;41,6;34,6;35,3;45,3;24,2;9,3;17,5;1.0
Landlust-Zuid;Amsterdam;BU0363EE06;4135;530;385;1970;905;350;1,7;453.0;4.0;33.0;67.0;1700.0;46,9;39,3;35,3;47,5;19,1;10,3;20,6;1.0
Erasmuspark;Amsterdam;WK0363EF;5740;555;660;2890;1150;480;1,7;426.0;4.0;44.0;56.0;2850.0;47,5;41,3;40;40,9;19,7;6,3;12,8;1.0
Robert Scottbuurt-Oost;Amsterdam;BU0363EF01;1740;160;230;825;355;170;1,8;442.0;4.0;31.0;68.0;820.0;47,5;41,3;40;46,8;17;8,4;17,3;1.0
Erasmusparkbuurt-West;Amsterdam;BU0363EF02;3995;390;430;2075;795;310;1,7;419.0;4.0;49.0;50.0;2030.0;49,1;42,7;40;38,4;20,9;5,4;10,8;1.0
Centrale Markt;Amsterdam;WK0363EG;2330;250;230;765;715;375;1,8;525.0;3.0;38.0;62.0;1040.0;;;;41,2;22,3;7,8;16,9;1.0
Bedrijvencentrum Westerkwartier;Amsterdam;BU0363EG01;60;5;10;10;25;10;1,9;;;;;;;;;41,2;22,3;7,8;16,9;1.0
GWL-terrein;Amsterdam;BU0363EG02;1220;155;145;285;445;185;2;592.0;2.0;48.0;52.0;520.0;;;;33,5;26,2;6,8;14,4;1.0
Markthallen;Amsterdam;BU0363EG03;15;5;0;5;0;5;2,2;;;;;;;;;41,2;22,3;7,8;16,9;1.0
Marcanti;Amsterdam;BU0363EG04;1040;85;70;465;235;175;1,6;459.0;3.0;28.0;71.0;580.0;;;;49,3;18;8,9;19,9;1.0
Staatsliedenbuurt;Amsterdam;WK0363EH;13005;1175;1225;5510;3495;1600;1,6;448.0;5.0;30.0;70.0;6630.0;46,1;40,4;37,6;51,3;15,8;11,7;21,7;1.0
Westerstaatsman;Amsterdam;BU0363EH01;2845;245;280;1445;700;175;1,5;420.0;4.0;38.0;62.0;1650.0;46,1;43,1;37,6;48,1;16,2;11,5;20;1.0
Fannius Scholtenbuurt;Amsterdam;BU0363EH02;3635;340;300;1645;1010;340;1,6;411.0;5.0;31.0;69.0;1840.0;45,8;39,8;37,6;51,4;13,6;13,4;21,9;1.0
Staatsliedenbuurt-Noordoost;Amsterdam;BU0363EH03;1215;105;100;350;325;335;1,6;414.0;3.0;20.0;80.0;480.0;46,1;40,4;37,6;62,3;10,1;11,2;30,3;1.0
De Wittenbuurt-Noord;Amsterdam;BU0363EH04;1355;130;135;550;360;180;1,6;486.0;8.0;23.0;76.0;640.0;46,1;40,4;37,6;53,1;15,7;11,3;21,1;1.0
De Wittenbuurt-Zuid;Amsterdam;BU0363EH05;810;50;85;215;250;210;1,5;447.0;6.0;21.0;79.0;360.0;46,1;40,4;37,6;63,6;9,2;15,8;31,7;1.0
Buyskade e.o.;Amsterdam;BU0363EH06;3145;305;330;1310;840;355;1,7;521.0;3.0;30.0;70.0;1670.0;49;42,7;37,6;45,3;22,4;9,2;16,7;1.0
Frederik Hendrikbuurt;Amsterdam;WK0363EJ;8270;645;770;3765;1930;1160;1,5;465.0;6.0;30.0;70.0;4040.0;49,6;44,1;39,1;49,4;16,9;11,1;19,7;1.0
Frederik Hendrikbuurt-Noord;Amsterdam;BU0363EJ01;3855;350;390;1795;840;480;1,6;472.0;5.0;29.0;70.0;1860.0;48,2;42,3;39,1;49,7;16,7;10,6;19,1;1.0
Frederik Hendrikbuurt-Zuidwest;Amsterdam;BU0363EJ02;1215;70;105;360;340;335;1,6;495.0;7.0;34.0;66.0;560.0;49,6;44,1;39,1;44,9;19,2;8,3;17,7;1.0
Frederik Hendrikbuurt-Zuidoost;Amsterdam;BU0363EJ03;3200;225;280;1610;750;335;1,5;445.0;5.0;29.0;71.0;1560.0;51,4;46,2;39,1;50,7;16,4;12,7;21;1.0
Van Galenbuurt;Amsterdam;WK0363EK;7740;780;885;3455;2005;605;1,6;413.0;4.0;23.0;77.0;2530.0;39,7;34,4;33,4;57;11,5;13,4;25,3;1.0
Mercatorpark;Amsterdam;BU0363EK01;2305;235;250;985;800;30;1;;;;;;39,7;34,4;33,4;57;11,5;13,4;25,3;1.0
Orteliusbuurt-Noord;Amsterdam;BU0363EK02;1310;130;130;625;260;165;1,6;414.0;3.0;30.0;70.0;480.0;39,7;34,4;33,4;51,9;12,7;12,9;23,7;1.0
Jan Maijenbuurt;Amsterdam;BU0363EK03;2250;230;270;980;550;225;1,6;403.0;3.0;22.0;78.0;940.0;39,7;34,4;33,4;58,6;11,2;15;27,7;1.0
John Franklinbuurt;Amsterdam;BU0363EK04;1870;180;235;860;400;190;1,6;424.0;5.0;18.0;82.0;730.0;39,7;34,4;33,4;58,8;11,1;11,8;23,6;1.0
