"District_Type";"Municipality_Name";"Area_Code";"Population_Total";"Pop_Age_0_15";"Pop_Age_15_25";"Pop_Age_25_45";"Pop_Age_45_65";"Pop_Age_65_Plus";"Avg_Household_Size";"Avg_Property_Value_1000EUR";"Pct_Unoccupied_Homes";"Pct_Owner_Occupied";"Pct_Rental";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min";"Urbanization_Level"
"Oostelijk Havengebied";"Amsterdam                               ";"WK0363MA  ";20555;2415;2030;7050;6355;2710;1,9;620;4;39;61;;;;;;;;;1
"Java-eiland";"Amsterdam                               ";"BU0363MA01";3130;310;305;880;1085;550;1,8;671;3;32;68;;;;;;;;;1
"KNSM-eiland";"Amsterdam                               ";"BU0363MA02";2340;215;165;600;830;530;1,7;572;3;48;52;;;;;;;;;1
"Oostelijke Handelskade";"Amsterdam                               ";"BU0363MA03";1480;165;115;685;375;140;1,9;682;6;26;74;;;;;;;;;1
"Rietlanden";"Amsterdam                               ";"BU0363MA04";2450;275;245;905;710;315;1,9;626;2;40;60;;;;;;;;;1
"Sporenburg";"Amsterdam                               ";"BU0363MA05";2660;395;360;630;1040;240;2,3;701;4;49;51;;;;;;;;;1
"Borneo";"Amsterdam                               ";"BU0363MA06";2715;450;320;760;930;250;2,2;765;1;37;63;;;;;;;;;1
"Entrepot-Noordwest";"Amsterdam                               ";"BU0363MA07";1380;145;130;450;415;240;1,8;513;3;34;66;;;;;;;;;1
"Bedrijvengebied Veelaan";"Amsterdam                               ";"BU0363MA08";35;5;0;10;15;10;1,5;;;;;;;;;;;;;1
"Architectenbuurt";"Amsterdam                               ";"BU0363MA09";1715;150;155;530;555;320;1,7;479;2;55;45;;;;;;;;;1
"Cruquiusbuurt";"Amsterdam                               ";"BU0363MA10";2395;265;185;1505;360;85;1,8;551;7;29;71;;;;;;;;;1
"Bedrijvengebied Zeeburgerkade";"Amsterdam                               ";"BU0363MA11";240;30;40;100;40;25;1,7;486;30;12;88;;;;;;;;;1
"Weesperzijde";"Amsterdam                               ";"WK0363MB  ";5925;590;1005;2600;1130;590;1,6;585;6;37;62;;;;;;;;;1
"Weesperzijde-Noord";"Amsterdam                               ";"BU0363MB01";1935;190;250;930;410;160;1,6;597;7;45;55;;;;;;;;;1
"Weesperzijde-Midden/Zuid";"Amsterdam                               ";"BU0363MB02";3300;355;340;1530;655;425;1,7;588;5;36;64;;;;;;;;;1
"Parooldriehoek";"Amsterdam                               ";"BU0363MB03";685;50;420;140;65;10;1,2;417;3;0;100;;;;;;;;;1
"Oosterparkbuurt";"Amsterdam                               ";"WK0363MC  ";10715;1170;1155;4490;2450;1455;1,6;488;5;26;74;;;;;;;;;1
"Oosterparkbuurt-Noordwest";"Amsterdam                               ";"BU0363MC01";3850;350;440;1760;810;495;1,6;468;3;23;76;;;;;;;;;1
"Oosterpark";"Amsterdam                               ";"BU0363MC02";105;5;10;50;30;15;1,1;277;7;1;99;;;;;;;;;1
"Oosterparkbuurt-Zuidwest";"Amsterdam                               ";"BU0363MC03";3055;375;325;1210;715;430;1,7;473;4;22;78;;;;;;;;;1
