buurtcode_2022,buurt_cbs_2015,buurt_cbs_2022,district_type,buurt_name,wijk_name,stadsdeel_name,municipality_name,buurt_area_m2,population_total_2020,pop_age_0_15_2020,pop_age_15_25_2020,pop_age_25_45_2020,pop_age_45_65_2020,pop_age_65_plus_2020,avg_household_size_2020,woz_value_2020,pct_unoccupied_2020,pct_owner_occupied_2020,pct_rental_2020,n_high_education_2020,income_recipient_2020,income_inhabitant_2020,income_household_2020,pct_bottom40_2020,pct_top20_2020,pct_low_income_2020,pct_below_120pct_social_min_2020,urbanicity_2020,supermarkets_1km_2020,food_shops_1km_2020,cafes_1km_2020,cafeterias_1km_2020,restaurants_1km_2020,dist_primary_school_2020,dist_secondary_school_2020,dist_train_station_2020,dist_nearest_green_2020,nearest_green_name_2020,nearest_green_type_2020,nearest_green_area_m2_2020,total_green_area_m2_2020,green_coverage_pct_2020,num_green_spaces_2020,population_total_2024,pop_age_0_15_2024,pop_age_15_25_2024,pop_age_25_45_2024,pop_age_45_65_2024,pop_age_65_plus_2024,avg_household_size_2024,woz_value_2024,pct_unoccupied_2024,pct_owner_occupied_2024,pct_rental_2024,n_high_education_2024,income_recipient_2024,income_inhabitant_2024,income_household_2024,pct_bottom40_2024,pct_top20_2024,pct_low_income_2024,pct_below_120pct_social_min_2024,urbanicity_2024,supermarkets_1km_2024,food_shops_1km_2024,cafes_1km_2024,cafeterias_1km_2024,restaurants_1km_2024,dist_primary_school_2024,dist_secondary_school_2024,dist_train_station_2024,dist_nearest_green_2024,nearest_green_name_2024,nearest_green_type_2024,nearest_green_area_m2_2024,total_green_area_m2_2024,green_coverage_pct_2024,num_green_spaces_2024,population_change,woz_change,income_household_change,pct_bottom40_change,pct_top20_change,pct_low_income_change,green_coverage_change,dist_green_change,n_high_education_change,is_eligible,woz_growth_pct,income_growth_pct,education_growth_abs,upgrading_criteria_met,gentrified
AD06,BU03630105,BU0363AD06,Spuistraat Zuid,Spuistraat-Zuid,Burgwallen-Nieuwe Zijde,Centrum,Amsterdam,67108.13,725,40,90,370,155,65,1.4,471.0,21.0,16.0,84.0,440.0,46.3,41.6,35.4,53.5,14.8,13.0,18.8,1.0,11.3,178.0,201.3,252.5,355.1,0.8,1.0,1.2,1014.78,Unnamed,park,175.55,0.0,0.0,0.0,810,30,145,410,140,80,1.4,527.0,16.0,16.0,83.0,412.44224881045,46.5,42.7,40.0,53.1,15.8,11.5,16.5,1.0,5.8,101.7,73.4,104.0,186.2,1.2,1.1,2.0,821.49,Unnamed,park,353.96,0.0,0.0,0.0,85,56.0,4.600000000000001,-0.3999999999999986,1.0,-1.5,0.0,-193.29,-27.557751189550004,0,0.11889596602972399,0.1299435028248588,-27.557751189550004,0,0
AD07,BU03630106,BU0363AD07,Begijnhofbuurt,Begijnhofbuurt,Burgwallen-Nieuwe Zijde,Centrum,Amsterdam,70609.69,415,10,50,205,80,70,1.3,500.0,21.0,11.0,88.0,290.0,36.3,34.5,27.6,64.6,8.0,10.9,20.7,1.0,11.8,163.9,212.1,255.3,359.7,1.0,1.2,1.1,1082.74,Weesperplantsoen,park,1512.39,0.0,0.0,0.0,475,0,80,250,65,80,1.3,498.0,18.0,8.0,91.0,279.3844042660533,46.5,42.7,40.0,59.9,9.7,8.4,16.2,1.0,6.4,99.8,78.2,116.4,178.9,1.3,1.4,1.7,688.69,Unnamed,park,353.96,0.0,0.0,0.0,60,-2.0,12.4,-4.699999999999996,1.6999999999999993,-2.5,0.0,-394.05,-10.61559573394669,0,-0.004,0.4492753623188405,-10.61559573394669,1,0
AD08,BU03630107,BU0363AD08,Kalverdriehoek,Kalverdriehoek,Burgwallen-Nieuwe Zijde,Centrum,Amsterdam,60386.69,310,10,70,165,45,20,1.4,616.0,27.0,24.0,76.0,160.0,47.4,43.1,35.3,47.1,21.1,9.0,10.8,1.0,10.9,127.7,168.6,194.4,285.4,0.9,1.2,1.4,909.69,Leidsebosje,park,4551.86,0.0,0.0,0.0,345,10,90,180,45,15,1.4,619.0,22.0,20.0,79.0,186.69568852578456,46.5,42.7,40.0,50.5,14.8,6.8,8.6,1.0,6.1,88.8,73.7,93.1,147.2,1.3,1.6,2.0,810.57,Unnamed,park,353.96,0.0,0.0,0.0,35,3.0,4.700000000000003,3.3999999999999986,-6.300000000000001,-2.2,0.0,-99.12,26.69568852578456,0,0.00487012987012987,0.13314447592068,26.69568852578456,0,0
AC01,BU03630200,BU0363AC01,Langestraat e.o.,Langestraat e.o.,Grachtengordel-West,Centrum,Amsterdam,123308.57,1870,170,195,595,510,390,1.6,811.0,19.0,50.0,48.0,1040.0,63.8,53.6,54.3,37.1,30.3,7.7,10.0,1.0,8.3,147.6,112.5,152.0,253.2,0.3,0.5,0.9,742.2,Unnamed,park,81.6,0.0,0.0,0.0,1920,150,250,625,505,390,1.6,907.0,19.0,49.0,50.0,990.0,74.9,64.9,70.1,38.7,29.6,7.9,10.6,1.0,4.2,55.5,42.3,46.7,102.3,0.5,0.6,1.6,498.14,Unnamed,forest,156.28,0.0,0.0,0.0,50,96.0,15.799999999999995,1.6000000000000014,-0.6999999999999993,0.2000000000000001,0.0,-244.0600000000001,-50.0,0,0.11837237977805179,0.29097605893186,-50.0,0,0
AC02,BU03630201,BU0363AC02,Leliegracht e.o.,Leliegracht e.o.,Grachtengordel-West,Centrum,Amsterdam,173446.55,1825,125,360,625,440,270,1.5,811.0,22.0,40.0,59.0,1050.0,75.9,64.3,68.8,38.8,32.1,6.9,9.2,1.0,10.5,166.4,130.3,178.2,275.4,0.4,0.7,1.1,601.19,Unnamed,park,81.6,0.0,0.0,0.0,1875,120,330,715,425,275,1.5,901.0,20.0,40.0,59.0,1210.0,74.9,64.9,70.1,42.3,28.7,8.7,10.3,1.0,5.6,80.1,62.2,77.6,149.8,0.8,0.9,1.9,601.13,Unnamed,park,191.74,0.0,0.0,0.0,50,90.0,1.2999999999999972,3.5,-3.400000000000002,1.799999999999999,0.0,-0.0600000000000591,160.0,0,0.11097410604192355,0.018895348837209263,160.0,1,0
AC03,BU03630202,BU0363AC03,Felix Meritisbuurt,Felix Meritisbuurt,Grachtengordel-West,Centrum,Amsterdam,203160.27,2055,125,220,790,605,315,1.5,787.0,24.0,42.0,57.0,1410.0,79.0,68.4,67.0,40.1,28.6,8.3,10.8,1.0,10.6,155.4,155.2,204.1,319.2,0.5,0.8,1.4,828.18,Unnamed,park,175.55,0.0,0.0,0.0,2120,110,305,825,535,345,1.5,878.0,21.0,39.0,60.0,1440.0,74.9,64.9,70.1,41.4,26.8,8.1,11.3,1.0,6.6,99.6,76.4,92.4,194.8,0.8,0.8,2.2,731.01,Tweede Marnixplantsoen,park,2262.82,0.0,0.0,0.0,65,91.0,3.0999999999999943,1.2999999999999972,-1.8000000000000007,-0.200000000000001,0.0,-97.16999999999996,30.0,0,0.1156289707750953,0.046268656716417826,30.0,0,0
AC04,BU03630203,BU0363AC04,Leidsegracht Noord,Leidsegracht-Noord,Grachtengordel-West,Centrum,Amsterdam,69128.8,685,45,85,255,185,120,1.6,919.0,20.0,43.0,56.0,130.0,77.4,66.3,58.1,40.2,34.7,8.5,9.3,1.0,9.8,122.2,143.0,164.4,318.0,0.6,0.5,1.8,574.9,Leidsebosje,park,4551.86,0.0,0.0,0.0,715,45,110,265,170,125,1.5,1051.0,21.0,42.0,57.0,380.0,74.9,64.9,70.1,43.4,30.9,10.1,11.8,1.0,6.3,88.3,88.9,76.6,236.0,0.9,0.8,2.5,574.9,Leidsebosje,park,4551.86,0.0,0.0,0.0,30,132.0,11.999999999999991,3.199999999999996,-3.800000000000004,1.5999999999999996,0.0,0.0,250.0,0,0.14363438520130578,0.2065404475043028,250.0,1,0
AG04,BU03630300,BU0363AG04,Spiegelbuurt,Spiegelbuurt,Grachtengordel-Zuid,Centrum,Amsterdam,94261.43,820,85,80,355,195,105,1.6,823.0,29.0,42.0,56.0,470.0,67.5,55.5,57.3,34.8,31.4,9.2,9.4,1.0,10.9,93.7,132.6,121.7,302.8,0.6,0.6,2.1,515.13,Leidsebosje,park,4333.05,0.0,0.0,0.0,890,65,145,310,250,115,1.6,976.0,25.0,42.0,57.0,510.0,75.3,65.1,67.8,39.9,29.3,6.5,6.9,1.0,5.1,64.6,89.4,63.0,223.1,1.0,0.8,2.7,515.13,Leidsebosje,park,4333.05,0.0,0.0,0.0,70,153.0,10.5,5.100000000000001,-2.099999999999998,-2.6999999999999997,0.0,0.0,40.0,0,0.1859052247873633,0.18324607329842932,40.0,0,0
AG06,BU03630303,BU0363AG06,Amstelveldbuurt,Amstelveldbuurt,Grachtengordel-Zuid,Centrum,Amsterdam,147839.43,1515,150,205,460,445,250,1.7,828.0,20.0,45.0,54.0,910.0,75.1,62.9,86.6,41.9,31.4,8.3,10.4,1.0,11.5,75.4,91.4,96.8,205.7,0.5,1.2,2.1,301.95,Unnamed,forest,872.32,0.0,0.0,0.0,1580,125,235,530,440,245,1.6,973.0,15.0,42.0,57.0,980.0,75.3,65.1,67.8,40.3,28.3,8.7,10.6,1.0,4.9,39.4,43.5,33.3,127.5,0.6,1.3,2.8,303.1,Unnamed,forest,1002.33,0.0,0.0,0.0,65,145.0,-18.8,-1.6000000000000014,-3.099999999999998,0.3999999999999986,0.0,1.150000000000034,70.0,0,0.1751207729468599,-0.21709006928406466,70.0,0,0
AG01,BU03630306,BU0363AG01,Leidsegracht Zuid,Leidsegracht-Zuid,Grachtengordel-Zuid,Centrum,Amsterdam,68639.92,660,45,75,245,175,115,1.6,832.0,26.0,33.0,65.0,400.0,61.2,51.7,57.4,38.9,31.9,6.8,8.6,1.0,10.8,106.0,135.6,140.6,304.7,0.8,0.6,1.9,558.21,Leidsebosje,park,4551.86,0.0,0.0,0.0,710,55,85,305,155,115,1.6,914.0,22.0,32.0,66.0,450.0,75.3,65.1,67.8,39.6,27.6,7.2,9.1,1.0,6.7,88.0,107.1,86.5,270.4,1.1,0.8,2.5,558.21,Leidsebosje,park,4551.86,0.0,0.0,0.0,50,82.0,10.4,0.7000000000000028,-4.299999999999997,0.4000000000000003,0.0,0.0,50.0,0,0.0985576923076923,0.18118466898954702,50.0,0,0
AF01,BU03630400,BU0363AF01,Oosterdokseiland,Oosterdokseiland,Nieuwmarkt/Lastage,Centrum,Amsterdam,242948.12,480,60,25,210,125,50,1.7,658.0,13.0,46.0,53.0,270.0,70.2,57.7,59.1,33.3,33.3,6.4,8.8,1.0,5.3,49.3,93.5,84.1,138.6,0.8,1.5,0.8,480.89,Unnamed,park,154.42,0.0,0.0,0.0,555,60,35,240,155,65,1.6,832.0,20.0,46.0,53.0,299.56736552228296,52.0,46.2,48.5,32.0,27.9,5.4,8.3,1.0,2.6,17.3,29.9,25.9,67.2,1.1,1.8,0.8,288.83,Unnamed,forest,87.43,0.0,0.0,0.0,75,174.0,-10.6,-1.2999999999999972,-5.399999999999999,-1.0,0.0,-192.06,29.567365522282955,0,0.26443768996960487,-0.17935702199661593,29.567365522282955,0,0
AF03,BU03630401,BU0363AF03,Scheepvaarthuisbuurt,Scheepvaarthuisbuurt,Nieuwmarkt/Lastage,Centrum,Amsterdam,107781.37,740,55,125,290,165,105,1.6,634.0,16.0,36.0,63.0,420.0,43.1,37.5,35.7,48.9,21.6,7.2,9.2,1.0,8.9,68.3,123.1,115.4,179.1,0.5,1.5,0.8,237.89,Unnamed,forest,522.33,0.0,0.0,0.0,780,45,175,280,170,105,1.6,755.0,12.0,39.0,60.0,460.0,52.0,46.2,48.5,45.1,21.2,6.5,8.0,1.0,6.5,29.9,52.8,42.5,113.5,0.6,1.8,1.0,237.79,Unnamed,forest,524.83,0.0,0.0,0.0,40,121.0,12.799999999999995,-3.799999999999997,-0.4000000000000021,-0.7000000000000002,0.0,-0.0999999999999943,40.0,0,0.19085173501577288,0.35854341736694667,40.0,1,0
AF04,BU03630402,BU0363AF04,Rapenburg,Rapenburg,Nieuwmarkt/Lastage,Centrum,Amsterdam,165949.98,1005,100,210,370,240,90,1.6,493.3865569929037,13.0,25.0,74.0,530.0,42.9,35.5,34.5,50.7,18.5,9.2,15.0,1.0,6.2,39.0,63.6,54.6,114.6,0.4,1.8,1.2,145.16,Unnamed,forest,522.33,522.33,0.31,1.0,1015,80,225,390,205,115,1.5,493.0,10.0,24.0,76.0,515.2234691454967,52.0,46.2,48.5,51.2,18.1,6.9,11.4,1.0,3.3,8.4,10.8,10.7,28.7,0.8,1.8,1.6,145.29,Unnamed,forest,524.83,524.83,0.32,1.0,10,-0.3865569929037065,14.0,0.5,-0.3999999999999986,-2.299999999999999,0.01,0.1299999999999954,-14.776530854503337,0,-0.0007834769460677995,0.4057971014492754,-14.776530854503335,1,0
AF02,BU03630403,BU0363AF02,Lastage,Lastage,Nieuwmarkt/Lastage,Centrum,Amsterdam,77804.13,1090,85,120,415,310,165,1.5,480.0,12.0,35.0,65.0,710.0,45.9,40.2,35.2,49.5,19.0,9.9,14.9,1.0,10.7,88.9,144.7,144.4,219.5,0.2,1.4,0.8,388.7,Unnamed,forest,522.33,0.0,0.0,0.0,1120,70,115,440,310,180,1.6,588.0,11.0,34.0,66.0,680.0,52.0,46.2,48.5,44.8,20.1,6.8,13.4,1.0,6.3,37.7,78.4,63.8,145.1,0.4,1.9,1.1,249.96,Unnamed,park,353.96,0.0,0.0,0.0,30,108.0,13.299999999999995,-4.700000000000003,1.1000000000000014,-3.1000000000000005,0.0,-138.73999999999998,-30.0,0,0.225,0.377840909090909,-30.0,1,0
AF05,BU03630404,BU0363AF05,Nieuwmarkt,Nieuwmarkt,Nieuwmarkt/Lastage,Centrum,Amsterdam,71272.1,1605,120,135,410,520,420,1.5,428.0,6.0,17.0,83.0,690.0,34.2,30.1,28.3,63.6,11.6,15.9,28.0,1.0,11.1,92.9,168.3,169.0,248.7,0.3,1.6,1.0,471.99,Unnamed,forest,522.33,0.0,0.0,0.0,1580,110,170,400,420,485,1.4,506.0,7.0,16.0,84.0,660.0,52.0,46.2,48.5,63.1,10.7,12.1,27.1,1.0,7.2,44.7,85.9,68.7,151.5,0.4,2.1,1.3,64.51,Unnamed,park,353.96,353.96,0.5,1.0,-25,78.0,20.2,-0.5,-0.9000000000000004,-3.8000000000000007,0.5,-407.48,-30.0,1,0.1822429906542056,0.7137809187279152,-30.0,1,0
AF06,BU03630405,BU0363AF06,Uilenburg,Uilenburg,Nieuwmarkt/Lastage,Centrum,Amsterdam,106889.35,1225,80,115,460,365,200,1.5,489.0,10.0,36.0,64.0,690.0,51.8,45.8,39.5,46.4,21.2,10.2,16.2,1.0,9.0,54.1,114.4,91.6,161.4,0.3,1.8,1.3,349.16,Unnamed,forest,1236.52,0.0,0.0,0.0,1255,70,140,470,335,240,1.5,577.0,8.0,36.0,64.0,740.0,52.0,46.2,48.5,44.9,23.2,9.9,17.7,1.0,4.8,14.5,31.7,20.8,58.6,0.4,2.0,1.8,335.52,Unnamed,park,353.96,0.0,0.0,0.0,30,88.0,9.0,-1.5,2.0,-0.2999999999999989,0.0,-13.640000000000043,50.0,0,0.17995910020449898,0.22784810126582278,50.0,0,0
AF07,BU03630406,BU0363AF07,Valkenburg,Valkenburg,Nieuwmarkt/Lastage,Centrum,Amsterdam,73591.15,1200,100,115,380,330,270,1.5,454.0,10.0,43.0,56.0,670.0,45.7,39.8,34.6,50.3,17.9,7.4,17.3,1.0,4.8,19.6,28.6,35.7,60.0,0.2,1.6,1.6,129.97,Unnamed,forest,1236.52,0.0,0.0,0.0,1210,85,155,405,275,295,1.5,555.0,10.0,41.0,59.0,630.0,52.0,46.2,48.5,49.0,18.5,4.5,14.8,1.0,3.5,11.5,25.3,19.7,52.5,0.4,1.6,1.9,129.97,Unnamed,forest,1236.52,0.0,0.0,0.0,10,101.0,13.9,-1.2999999999999972,0.6000000000000014,-2.9000000000000004,0.0,0.0,-40.0,0,0.22246696035242292,0.4017341040462427,-40.0,1,0
AF08,BU03630407,BU0363AF08,Zuiderkerkbuurt,Zuiderkerkbuurt,Nieuwmarkt/Lastage,Centrum,Amsterdam,91016.21,1495,80,150,480,475,320,1.4,522.0,14.0,22.0,78.0,780.0,42.7,38.6,34.0,54.8,15.3,12.7,21.5,1.0,12.6,121.1,202.5,198.7,321.4,0.5,1.6,1.2,593.0,Weesperplantsoen,park,1512.39,0.0,0.0,0.0,1600,95,190,550,410,360,1.4,626.0,11.0,21.0,78.0,880.0,52.0,46.2,48.5,56.6,16.1,11.0,20.9,1.0,5.0,45.4,74.6,59.9,144.7,0.9,1.9,1.6,337.6,Unnamed,park,353.96,0.0,0.0,0.0,105,104.0,14.5,1.8000000000000045,0.8000000000000007,-1.6999999999999993,0.0,-255.4,100.0,0,0.19923371647509577,0.4264705882352941,100.0,2,0
