"District_Type";"Municipality_Name";"Area_Code";"Higher_Education_Count";"Avg_Income_Per_Income_Recipient_1000EUR";"Avg_Income_Per_Inhabitant_1000EUR";"Avg_Std_Household_Income_1000EUR";"Pct_Lowest_40Pct_Income";"Pct_Highest_20Pct_Income";"Pct_Low_Income_Households";"Pct_Below_120Pct_Social_Min"
"Coenhaven";"Amsterdam                               ";"BU0363BB01";;;;;;;;
"Vlothaven";"Amsterdam                               ";"BU0363BB02";;;;;;;;
"Minervahaven-Noordoost";"Amsterdam                               ";"BU0363BB03";;;;;97,8;0;;
"Minervahaven-Noordwest";"Amsterdam                               ";"BU0363BB04";;;;;;;;
"Minervahaven-Zuidwest";"Amsterdam                               ";"BU0363BB05";;;;;;;;
"Minervahaven-Zuidoost";"Amsterdam                               ";"BU0363BB06";;;;;;;;
"Alfa-driehoek";"Amsterdam                               ";"BU0363BB07";;;;;;;;
"Hemknoop-Noord";"Amsterdam                               ";"BU0363BB08";;;;;;;;
"Sloterdijk-West";"Amsterdam                               ";"WK0363EA  ";;;;;26,9;30,3;5,2;5,8
"Isolatorbuurt";"Amsterdam                               ";"BU0363EA01";;;;;;;;
"Contactbuurt";"Amsterdam                               ";"BU0363EA02";;;;;;;;
"Woon- en Groengebied Sloterdijk";"Amsterdam                               ";"BU0363EA03";;;;;23,8;32,2;3,4;4,1
"Spaarndammerbuurt/Zeeheldenbuurt";"Amsterdam                               ";"WK0363EB  ";4240;42,1;36,2;35;55,6;13,3;12,3;23,3
"Hemknoop-Zuid";"Amsterdam                               ";"BU0363EB01";;;;;;;;
"Overbraker Binnenpolder";"Amsterdam                               ";"BU0363EB02";;;;;;;;
"Zaanstraat emplacement";"Amsterdam                               ";"BU0363EB03";;;;;;;;
"Spaarndammerbuurt-Noordwest";"Amsterdam                               ";"BU0363EB04";730;;;;55,5;13,7;13,6;22,3
"Spaarndammerbuurt-Midden";"Amsterdam                               ";"BU0363EB05";590;;;;52,1;15,7;11,4;20,6
"Spaarndammerbuurt-Zuidwest";"Amsterdam                               ";"BU0363EB06";760;;;;57,1;13,2;10,4;23
"Spaarndammerbuurt-Noordoost";"Amsterdam                               ";"BU0363EB07";910;;34;;60;11,2;14,7;26,7
"Zeeheldenbuurt";"Amsterdam                               ";"BU0363EB08";880;;;;52,3;14,6;11,3;23,1
"Westergasfabriek";"Amsterdam                               ";"BU0363EB09";;;;;;;;
"Spaarndammerbuurt-Zuidoost";"Amsterdam                               ";"BU0363EB10";;;;;52;13,6;9,7;20,7
