"ID";"DistrictsAndNeighbourhoods";"MunicipalityName_1";"Encoding_3";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes_90"
"1594";"BU0363ML02";"Amsterdam                               ";"BU0363ML02";"     1.7";"     4.8";"     0.0";"     3.1";"    10.7";"     0.3";"     0.6";"     6.0"
"1595";"BU0363ML03";"Amsterdam                               ";"BU0363ML03";"     0.1";"     0.2";"     0.0";"     0.0";"     0.0";"     0.9";"     1.2";"     6.6"
"1596";"WK0363MM  ";"Amsterdam                               ";"WK0363MM  ";"     2.6";"    10.8";"     2.1";"     8.3";"    15.3";"     1.0";"     0.7";"     1.0"
"1597";"BU0363MM01";"Amsterdam                               ";"BU0363MM01";"     3.0";"     6.0";"     1.3";"     9.1";"    14.5";"     1.1";"     0.7";"     0.7"
"1598";"BU0363MM02";"Amsterdam                               ";"BU0363MM02";"     2.7";"    11.5";"     3.9";"    12.1";"    22.6";"     0.9";"     0.4";"     0.7"
"1599";"BU0363MM03";"Amsterdam                               ";"BU0363MM03";"     6.4";"    24.2";"     5.3";"    13.2";"    33.9";"     0.8";"     0.5";"     1.3"
"1600";"BU0363MM04";"Amsterdam                               ";"BU0363MM04";"     1.5";"     3.2";"     0.0";"     6.3";"     6.7";"     1.3";"     0.9";"     0.7"
"1601";"BU0363MM05";"Amsterdam                               ";"BU0363MM05";"     5.0";"    24.1";"     3.2";"    12.4";"    27.0";"     0.5";"     0.3";"     1.3"
"1602";"BU0363MM06";"Amsterdam                               ";"BU0363MM06";"     0.6";"     2.1";"     0.0";"     1.2";"     1.0";"     1.6";"     1.3";"     1.2"
"1603";"BU0363MM07";"Amsterdam                               ";"BU0363MM07";"     0.9";"     2.4";"     0.0";"     2.9";"     1.4";"     1.5";"     1.2";"     1.1"
"1604";"BU0363MM08";"Amsterdam                               ";"BU0363MM08";"     1.8";"    12.2";"     0.6";"     5.7";"     8.5";"     0.4";"     0.7";"     1.4"
"1605";"WK0363MN  ";"Amsterdam                               ";"WK0363MN  ";"     3.4";"    15.4";"     1.9";"     8.2";"    18.8";"     0.7";"     0.7";"     1.1"
"1606";"BU0363MN01";"Amsterdam                               ";"BU0363MN01";"     6.8";"    28.8";"     4.4";"    15.1";"    38.1";"     0.3";"     0.5";"     1.2"
"1607";"BU0363MN02";"Amsterdam                               ";"BU0363MN02";"     6.0";"    26.3";"     2.8";"    13.3";"    30.9";"     0.2";"     0.6";"     0.9"
"1608";"BU0363MN03";"Amsterdam                               ";"BU0363MN03";"     2.1";"    15.1";"     1.2";"     8.0";"    16.4";"     0.6";"     0.3";"     1.2"
"1609";"BU0363MN04";"Amsterdam                               ";"BU0363MN04";"     2.5";"     2.2";"     0.7";"     2.2";"     4.8";"     1.2";"     1.1";"     0.6"
"1610";"BU0363MN05";"Amsterdam                               ";"BU0363MN05";"     0.1";"     0.0";"     0.0";"     0.0";"     0.9";"     2.1";"     1.7";"     1.3"
"1611";"BU0363MN06";"Amsterdam                               ";"BU0363MN06";"     1.0";"     9.0";"     0.4";"     6.0";"     7.1";"     0.8";"     0.6";"     1.2"
"1612";"BU0363MN07";"Amsterdam                               ";"BU0363MN07";"     1.0";"     0.2";"     0.0";"     0.1";"     2.2";"     1.6";"     1.1";"     0.5"
"1613";"BU0363MN08";"Amsterdam                               ";"BU0363MN08";"     0.0";"     2.0";"     0.7";"     0.8";"     3.0";"     1.6";"     1.7";"     2.3"
"1614";"BU0363MN09";"Amsterdam                               ";"BU0363MN09";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1615";"WK0363MP  ";"Amsterdam                               ";"WK0363MP  ";"     0.0";"     3.6";"     1.2";"     0.7";"     3.2";"     1.4";"     1.7";"     2.1"
"1616";"BU0363MP01";"Amsterdam                               ";"BU0363MP01";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1617";"BU0363MP02";"Amsterdam                               ";"BU0363MP02";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1618";"BU0363MP03";"Amsterdam                               ";"BU0363MP03";"     0.0";"     3.6";"     1.2";"     0.7";"     3.2";"     1.4";"     1.7";"     2.1"
"1619";"WK0363MQ  ";"Amsterdam                               ";"WK0363MQ  ";"     0.2";"     1.2";"     0.1";"     2.2";"     2.7";"     1.0";"     2.1";"     2.5"
"1620";"BU0363MQ01";"Amsterdam                               ";"BU0363MQ01";"     0.9";"     2.3";"     0.3";"     6.3";"     4.7";"     1.2";"     0.9";"     0.9"
"1621";"BU0363MQ02";"Amsterdam                               ";"BU0363MQ02";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     3.5";"     3.6";"     4.5"
"1622";"BU0363MQ03";"Amsterdam                               ";"BU0363MQ03";"     0.0";"     0.1";"     0.0";"     0.0";"     0.0";"     2.1";"     2.2";"     3.1"
"1623";"BU0363MQ04";"Amsterdam                               ";"BU0363MQ04";"     0.3";"     2.4";"     0.2";"     2.2";"     1.8";"     1.2";"     1.4";"     2.3"
"1624";"BU0363MQ05";"Amsterdam                               ";"BU0363MQ05";"     0.0";"     1.2";"     0.0";"     1.8";"     2.6";"     0.3";"     2.2";"     2.7"
"1625";"BU0363MQ06";"Amsterdam                               ";"BU0363MQ06";"     0.0";"     0.5";"     0.0";"     2.9";"     2.1";"     1.0";"     2.4";"     2.1"
"1626";"BU0363MQ07";"Amsterdam                               ";"BU0363MQ07";"     0.0";"     0.0";"     0.0";"     1.0";"     2.5";"     2.0";"     3.1";"     2.8"
"1627";"WK0363NA  ";"Amsterdam                               ";"WK0363NA  ";"     1.4";"     4.0";"     0.1";"     1.3";"     1.4";"     0.7";"     1.2";"     6.7"
"1628";"BU0363NA01";"Amsterdam                               ";"BU0363NA01";"     0.0";"     0.0";"     0.0";"     0.9";"     0.0";"     2.1";"     2.7";"     5.3"
"1629";"BU0363NA02";"Amsterdam                               ";"BU0363NA02";"     0.0";"     1.1";"     0.0";"     1.0";"     1.8";"     1.2";"     1.2";"     6.4"
"1630";"BU0363NA03";"Amsterdam                               ";"BU0363NA03";"     1.0";"     2.5";"     0.0";"     1.3";"     0.7";"     0.6";"     1.0";"     6.5"
"1631";"BU0363NA04";"Amsterdam                               ";"BU0363NA04";"     2.0";"     4.7";"     0.2";"     2.1";"     1.9";"     0.6";"     1.6";"     7.0"
"1632";"BU0363NA05";"Amsterdam                               ";"BU0363NA05";"     1.2";"    10.4";"     0.2";"     1.9";"     4.7";"     0.3";"     1.5";"     7.0"
"1633";"BU0363NA06";"Amsterdam                               ";"BU0363NA06";"     0.7";"     1.9";"     0.0";"     0.0";"     0.2";"     1.0";"     0.8";"     6.3"
"1634";"BU0363NA07";"Amsterdam                               ";"BU0363NA07";"     1.5";"     4.8";"     0.0";"     1.3";"     1.5";"     0.6";"     1.2";"     6.6"
"1635";"WK0363NB  ";"Amsterdam                               ";"WK0363NB  ";"     0.9";"     3.3";"     2.0";"     6.7";"    12.9";"     1.1";"     1.1";"     6.0"
"1636";"BU0363NB01";"Amsterdam                               ";"BU0363NB01";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1637";"BU0363NB02";"Amsterdam                               ";"BU0363NB02";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1638";"BU0363NB03";"Amsterdam                               ";"BU0363NB03";"     1.0";"     1.0";"     1.0";"     7.9";"    14.4";"     1.4";"     1.9";"     6.8"
"1639";"BU0363NB04";"Amsterdam                               ";"BU0363NB04";"     0.8";"     5.6";"     3.1";"     6.9";"     9.7";"     0.7";"     1.1";"     5.5"
"1640";"BU0363NB05";"Amsterdam                               ";"BU0363NB05";"     0.3";"     2.0";"     3.5";"     6.7";"     7.7";"     0.7";"     0.8";"     5.4"
"1641";"BU0363NB06";"Amsterdam                               ";"BU0363NB06";"     0.5";"     0.9";"     1.3";"     5.3";"     6.4";"     1.2";"     0.9";"     6.0"
"1642";"BU0363NB07";"Amsterdam                               ";"BU0363NB07";"     1.2";"     5.5";"     1.8";"     5.4";"    15.5";"     1.0";"     0.4";"     5.7"
"1643";"WK0363NC  ";"Amsterdam                               ";"WK0363NC  ";"     0.7";"     4.5";"     0.1";"     1.9";"     3.5";"     0.6";"     1.7";"     6.9"
"1644";"BU0363NC01";"Amsterdam                               ";"BU0363NC01";"     0.0";"     3.6";"     0.0";"     1.6";"     3.2";"     0.9";"     1.1";"     6.6"
"1645";"BU0363NC02";"Amsterdam                               ";"BU0363NC02";"     0.4";"     9.0";"     0.0";"     2.2";"     4.5";"     0.4";"     1.2";"     6.7"
"1646";"BU0363NC03";"Amsterdam                               ";"BU0363NC03";"     0.9";"     2.4";"     0.4";"     2.9";"     5.0";"     0.9";"     1.9";"     7.1"
"1647";"BU0363NC04";"Amsterdam                               ";"BU0363NC04";"     1.0";"     1.0";"     0.1";"     0.1";"     0.1";"     0.3";"     2.1";"     7.1"
"1648";"WK0363ND  ";"Amsterdam                               ";"WK0363ND  ";"     0.6";"     2.0";"     0.9";"     2.1";"     2.7";"     0.6";"     2.0";"     7.4"
"1649";"BU0363ND01";"Amsterdam                               ";"BU0363ND01";"     1.3";"     1.4";"     0.8";"     2.5";"     2.1";"     0.7";"     1.9";"     7.3"
"1650";"BU0363ND02";"Amsterdam                               ";"BU0363ND02";"     0.3";"     2.2";"     0.9";"     1.9";"     2.9";"     0.6";"     2.1";"     7.5"
"1651";"WK0363NE  ";"Amsterdam                               ";"WK0363NE  ";"     1.9";"     6.2";"     1.0";"     1.3";"     1.5";"     0.7";"     1.0";"     6.7"
"1652";"BU0363NE01";"Amsterdam                               ";"BU0363NE01";"     2.9";"     7.9";"     1.9";"     1.8";"     1.9";"     0.2";"     1.3";"     7.2"
"1653";"BU0363NE02";"Amsterdam                               ";"BU0363NE02";"     0.3";"     0.9";"     0.5";"     0.1";"     0.3";"     0.6";"     1.6";"     6.9"
"1654";"BU0363NE03";"Amsterdam                               ";"BU0363NE03";"     3.0";"     9.7";"     1.1";"     2.1";"     2.1";"     0.9";"     0.5";"     6.7"
"1655";"BU0363NE04";"Amsterdam                               ";"BU0363NE04";"     2.0";"     7.1";"     0.8";"     1.3";"     1.5";"     0.7";"     0.9";"     6.6"
"1656";"BU0363NE05";"Amsterdam                               ";"BU0363NE05";"     0.0";"     1.3";"     0.5";"     2.0";"     2.6";"     1.4";"     0.7";"     6.1"
"1657";"BU0363NE06";"Amsterdam                               ";"BU0363NE06";"     0.0";"     1.9";"     0.0";"     2.4";"     2.4";"     1.3";"     0.6";"     5.8"
"1658";"WK0363NF  ";"Amsterdam                               ";"WK0363NF  ";"     0.2";"     4.3";"     0.5";"     2.7";"     3.8";"     0.9";"     1.0";"     5.5"
"1659";"BU0363NF01";"Amsterdam                               ";"BU0363NF01";"     0.0";"     2.0";"     0.1";"     2.0";"     2.4";"     1.1";"     0.8";"     5.3"
"1660";"BU0363NF02";"Amsterdam                               ";"BU0363NF02";"     0.0";"     1.6";"     0.0";"     1.6";"     1.8";"     0.9";"     1.0";"     5.1"
"1661";"BU0363NF03";"Amsterdam                               ";"BU0363NF03";"     0.3";"     4.7";"     0.5";"     3.5";"     3.5";"     0.9";"     0.8";"     5.3"
"1662";"BU0363NF04";"Amsterdam                               ";"BU0363NF04";"     0.1";"     5.3";"     0.9";"     1.3";"     5.9";"     1.0";"     1.5";"     6.2"
"1663";"BU0363NF05";"Amsterdam                               ";"BU0363NF05";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1664";"WK0363NG  ";"Amsterdam                               ";"WK0363NG  ";"     0.6";"     1.3";"     0.0";"     0.9";"     0.1";"     0.5";"     0.6";"     5.7"
"1665";"BU0363NG01";"Amsterdam                               ";"BU0363NG01";"     0.5";"     1.1";"     0.0";"     0.8";"     0.0";"     0.5";"     0.8";"     5.9"
"1666";"BU0363NG02";"Amsterdam                               ";"BU0363NG02";"     1.0";"     1.8";"     0.0";"     1.0";"     0.3";"     0.5";"     0.3";"     5.2"
"1667";"BU0363NG03";"Amsterdam                               ";"BU0363NG03";"     1.0";"     2.3";"     0.0";"     1.7";"     1.3";"     0.6";"     0.7";"     4.8"
"1668";"WK0363NH  ";"Amsterdam                               ";"WK0363NH  ";"     3.4";"     5.0";"     1.4";"     5.9";"     8.3";"     0.5";"     1.0";"     6.0"
"1669";"BU0363NH01";"Amsterdam                               ";"BU0363NH01";"     1.5";"     1.5";"     0.9";"     1.3";"     2.9";"     0.4";"     1.2";"     6.4"
"1670";"BU0363NH02";"Amsterdam                               ";"BU0363NH02";"     2.0";"     1.9";"     1.5";"     1.3";"     4.1";"     0.2";"     1.1";"     6.3"
"1671";"BU0363NH03";"Amsterdam                               ";"BU0363NH03";"     4.2";"     6.9";"     1.1";"     8.8";"    10.3";"     0.6";"     0.6";"     5.4"
"1672";"BU0363NH04";"Amsterdam                               ";"BU0363NH04";"     6.1";"     7.2";"     2.0";"     9.0";"    12.3";"     0.7";"     1.1";"     6.3"
"1673";"BU0363NH05";"Amsterdam                               ";"BU0363NH05";"     4.7";"     8.3";"     1.7";"    10.2";"    13.2";"     0.5";"     1.0";"     5.7"
"1674";"BU0363NH06";"Amsterdam                               ";"BU0363NH06";"     0.4";"     4.1";"     0.0";"     5.0";"     4.3";"     0.2";"     0.1";"     5.3"
"1675";"WK0363NJ  ";"Amsterdam                               ";"WK0363NJ  ";"     4.5";"     8.4";"     1.1";"     5.9";"     4.9";"     0.4";"     0.7";"     6.6"
"1676";"BU0363NJ01";"Amsterdam                               ";"BU0363NJ01";"     2.5";"     2.8";"     0.8";"     1.0";"     3.1";"     0.6";"     0.6";"     7.1"
"1677";"BU0363NJ02";"Amsterdam                               ";"BU0363NJ02";"     4.0";"     6.3";"     1.0";"     4.5";"     3.0";"     0.2";"     0.6";"     6.7"
"1678";"BU0363NJ03";"Amsterdam                               ";"BU0363NJ03";"     3.8";"     6.8";"     1.0";"     5.6";"     2.9";"     0.4";"     1.0";"     6.3"
"1679";"BU0363NJ04";"Amsterdam                               ";"BU0363NJ04";"     5.6";"    10.4";"     1.5";"     8.7";"     8.8";"     0.7";"     0.9";"     6.7"
"1680";"BU0363NJ05";"Amsterdam                               ";"BU0363NJ05";"     5.6";"    11.4";"     1.3";"     7.9";"     7.9";"     0.4";"     0.7";"     6.6"
"1681";"BU0363NJ06";"Amsterdam                               ";"BU0363NJ06";"     3.7";"     8.2";"     1.0";"     5.5";"     3.3";"     0.3";"     0.9";"     6.2"
"1682";"WK0363NK  ";"Amsterdam                               ";"WK0363NK  ";"     2.7";"    13.0";"     6.0";"     9.3";"    19.0";"     0.6";"     0.6";"     5.3"
"1683";"BU0363NK01";"Amsterdam                               ";"BU0363NK01";"     1.0";"     3.8";"     2.7";"     5.2";"     6.4";"     0.7";"     0.4";"     5.6"
"1684";"BU0363NK02";"Amsterdam                               ";"BU0363NK02";"     2.3";"     9.2";"     5.5";"     8.0";"    13.9";"     0.4";"     0.8";"     5.5"
"1685";"BU0363NK03";"Amsterdam                               ";"BU0363NK03";"     3.8";"    19.8";"     7.9";"    12.2";"    28.2";"     0.6";"     0.5";"     5.0"
"1686";"WK0363NL  ";"Amsterdam                               ";"WK0363NL  ";"     3.5";"    14.5";"     5.9";"     6.9";"    23.4";"     0.4";"     0.6";"     5.1"
"1687";"BU0363NL01";"Amsterdam                               ";"BU0363NL01";"     2.6";"    10.8";"     3.9";"     7.0";"    21.0";"     0.4";"     0.4";"     4.7"
"1688";"BU0363NL02";"Amsterdam                               ";"BU0363NL02";"     0.1";"     2.5";"     0.1";"     2.1";"     2.0";"     1.5";"     1.3";"     5.7"
"1689";"BU0363NL03";"Amsterdam                               ";"BU0363NL03";"     4.1";"    18.0";"     7.1";"     9.0";"    29.6";"     0.3";"     0.5";"     5.1"
"1690";"BU0363NL04";"Amsterdam                               ";"BU0363NL04";"     3.0";"    11.1";"     5.2";"     3.9";"    15.5";"     0.5";"     0.7";"     5.4"
"1691";"WK0363NM  ";"Amsterdam                               ";"WK0363NM  ";"     0.2";"     4.4";"     0.0";"     3.5";"     3.4";"     0.5";"     0.5";"     5.3"
"1692";"BU0363NM01";"Amsterdam                               ";"BU0363NM01";"     0.2";"     4.4";"     0.0";"     3.5";"     3.4";"     0.5";"     0.5";"     5.3"
"1693";"WK0363NN  ";"Amsterdam                               ";"WK0363NN  ";"     2.6";"     9.2";"     1.6";"     4.9";"     7.7";"     0.7";"     1.2";"     6.2"
"1694";"BU0363NN01";"Amsterdam                               ";"BU0363NN01";"     0.1";"     4.8";"     1.0";"     1.1";"     6.3";"     0.8";"     1.1";"     5.8"
"1695";"BU0363NN02";"Amsterdam                               ";"BU0363NN02";"     3.8";"    11.2";"     1.8";"     6.6";"     8.3";"     0.7";"     1.2";"     6.3"
"1696";"WK0363NP  ";"Amsterdam                               ";"WK0363NP  ";"     2.8";"    12.4";"     5.3";"     5.2";"    26.5";"     0.6";"     0.8";"     5.0"
"1697";"BU0363NP01";"Amsterdam                               ";"BU0363NP01";"     3.0";"    13.4";"     5.7";"     5.5";"    28.3";"     0.5";"     0.7";"     4.9"
"1698";"BU0363NP02";"Amsterdam                               ";"BU0363NP02";"     1.3";"     3.8";"     2.8";"     5.6";"    19.3";"     1.0";"     0.7";"     5.0"
"1699";"BU0363NP03";"Amsterdam                               ";"BU0363NP03";"     0.0";"     0.4";"     0.0";"     0.0";"     0.0";"     1.3";"     1.9";"     6.4"
"1700";"WK0363NQ  ";"Amsterdam                               ";"WK0363NQ  ";"     0.3";"     0.0";"     0.0";"     0.0";"     0.4";"     2.0";"     3.8";"     7.1"
"1701";"BU0363NQ01";"Amsterdam                               ";"BU0363NQ01";"     0.0";"     0.0";"     0.0";"     0.0";"     1.0";"     2.6";"     2.8";"     7.8"
"1702";"BU0363NQ02";"Amsterdam                               ";"BU0363NQ02";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1703";"BU0363NQ03";"Amsterdam                               ";"BU0363NQ03";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     2.1";"     2.4";"     8.9"
"1704";"BU0363NQ04";"Amsterdam                               ";"BU0363NQ04";"     1.0";"     0.0";"     0.0";"     0.0";"     1.0";"     2.1";"     2.7";"     5.3"
"1705";"BU0363NQ05";"Amsterdam                               ";"BU0363NQ05";"     0.9";"     0.0";"     0.0";"     0.0";"     0.9";"     2.0";"     2.6";"     5.1"
"1706";"BU0363NQ06";"Amsterdam                               ";"BU0363NQ06";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1707";"BU0363NQ07";"Amsterdam                               ";"BU0363NQ07";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     1.4";"     3.1";"     5.5"
"1708";"BU0363NQ08";"Amsterdam                               ";"BU0363NQ08";"     0.0";"     0.0";"     0.0";"     0.0";"     0.6";"     3.1";"     7.2";"    10.2"
"1709";"BU0363NQ09";"Amsterdam                               ";"BU0363NQ09";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     0.3";"     4.6";"     6.8"
"1710";"BU0363NQ10";"Amsterdam                               ";"BU0363NQ10";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     2.5";"     4.4";"     6.6"
"1711";"WK0363SA  ";"Amsterdam                               ";"WK0363SA  ";"     0.0";"     0.0";"     0.0";"     1.0";"     0.0";"     0.4";"     3.0";"     3.7"
"1712";"BU0363SA01";"Amsterdam                               ";"BU0363SA01";"     0.0";"     0.0";"     0.0";"     0.7";"     0.0";"     0.9";"     3.6";"     4.3"
"1713";"BU0363SA02";"Amsterdam                               ";"BU0363SA02";"     0.0";"     0.0";"     0.0";"     1.0";"     0.0";"     0.3";"     3.0";"     3.6"
"1714";"WK0363SB  ";"Amsterdam                               ";"WK0363SB  ";"     0.0";"     0.1";"     0.0";"     0.2";"     0.0";"     2.0";"     2.4";"     1.6"
"1715";"BU0363SB01";"Amsterdam                               ";"BU0363SB01";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1716";"BU0363SB02";"Amsterdam                               ";"BU0363SB02";"     0.0";"     0.5";"     0.0";"     0.0";"     0.0";"     2.2";"     3.1";"     2.2"
"1717";"BU0363SB03";"Amsterdam                               ";"BU0363SB03";"     0.0";"     0.0";"     0.0";"     0.1";"     0.0";"     2.1";"     2.4";"     1.8"
"1718";"BU0363SB04";"Amsterdam                               ";"BU0363SB04";"     0.0";"     0.6";"     0.0";"     0.0";"     0.0";"     2.1";"     2.9";"     1.9"
"1719";"BU0363SB05";"Amsterdam                               ";"BU0363SB05";"     0.0";"     0.0";"     0.0";"     0.5";"     0.0";"     1.8";"     2.1";"     1.1"
"1720";"BU0363SB06";"Amsterdam                               ";"BU0363SB06";"     0.0";"     0.0";"     0.0";"     0.8";"     0.0";"     1.5";"     1.9";"     0.9"
"1721";"WK0363SC  ";"Amsterdam                               ";"WK0363SC  ";"     2.2";"     4.5";"     0.7";"     3.4";"     8.9";"     0.5";"     0.7";"     1.2"
"1722";"BU0363SC01";"Amsterdam                               ";"BU0363SC01";"     1.8";"     3.5";"     0.0";"     2.1";"     1.2";"     1.1";"     0.6";"     1.9"
"1723";"BU0363SC02";"Amsterdam                               ";"BU0363SC02";"     0.9";"     1.7";"     0.0";"     2.2";"     6.9";"     0.4";"     1.0";"     1.5"
"1724";"BU0363SC03";"Amsterdam                               ";"BU0363SC03";"     2.1";"     4.0";"     0.4";"     3.2";"     8.3";"     0.5";"     0.5";"     1.4"
"1725";"BU0363SC04";"Amsterdam                               ";"BU0363SC04";"     2.9";"     6.8";"     1.2";"     3.6";"     8.9";"     0.7";"     0.4";"     1.4"
"1726";"BU0363SC05";"Amsterdam                               ";"BU0363SC05";"     2.0";"     4.0";"     0.6";"     3.8";"     9.5";"     0.6";"     1.1";"     0.8"
"1727";"BU0363SC06";"Amsterdam                               ";"BU0363SC06";"     3.0";"     5.7";"     1.5";"     4.1";"    11.9";"     0.4";"     0.9";"     0.8"
"1728";"WK0363SD  ";"Amsterdam                               ";"WK0363SD  ";"     2.4";"    11.3";"     3.1";"     6.3";"    16.8";"     0.6";"     0.8";"     1.1"
"1729";"BU0363SD01";"Amsterdam                               ";"BU0363SD01";"     3.6";"    11.5";"     3.0";"     6.5";"    19.0";"     0.4";"     0.8";"     0.6"
"1730";"BU0363SD02";"Amsterdam                               ";"BU0363SD02";"     3.7";"     9.9";"     1.0";"     2.6";"     8.6";"     0.8";"     0.8";"     1.6"
"1731";"BU0363SD03";"Amsterdam                               ";"BU0363SD03";"     2.8";"    14.6";"     4.7";"     9.2";"    23.0";"     0.5";"     0.6";"     1.0"
"1732";"BU0363SD04";"Amsterdam                               ";"BU0363SD04";"     2.8";"    14.6";"     4.5";"     7.7";"    21.1";"     0.3";"     0.5";"     1.2"
"1733";"BU0363SD05";"Amsterdam                               ";"BU0363SD05";"     0.1";"     7.8";"     1.7";"     4.1";"    11.9";"     0.9";"     1.2";"     1.4"
"1734";"BU0363SD06";"Amsterdam                               ";"BU0363SD06";"     0.0";"     1.7";"     0.3";"     0.5";"     2.0";"     1.2";"     1.5";"     1.7"
"1735";"WK0363SE  ";"Amsterdam                               ";"WK0363SE  ";"     0.8";"     0.3";"     0.9";"     0.9";"     1.2";"     1.0";"     1.8";"     2.4"
"1736";"BU0363SE01";"Amsterdam                               ";"BU0363SE01";"     0.0";"     0.0";"     0.0";"     0.0";"     0.1";"     2.5";"     2.8";"     3.1"
"1737";"BU0363SE02";"Amsterdam                               ";"BU0363SE02";"     1.0";"     0.3";"     1.0";"     1.1";"     0.9";"     0.5";"     1.5";"     2.1"
"1738";"BU0363SE03";"Amsterdam                               ";"BU0363SE03";"     1.0";"     0.4";"     1.1";"     1.1";"     1.7";"     0.7";"     1.3";"     2.0"
"1739";"BU0363SE04";"Amsterdam                               ";"BU0363SE04";"     0.0";"     0.6";"     0.3";"     0.6";"     1.5";"     2.7";"     3.5";"     3.5"
"1740";"WK0363TA  ";"Amsterdam                               ";"WK0363TA  ";"     0.4";"     1.7";"     0.2";"     2.0";"     3.8";"     1.4";"     2.5";"     1.0"
"1741";"BU0363TA01";"Amsterdam                               ";"BU0363TA01";"     0.0";"     0.7";"     1.5";"     6.7";"     9.2";"     2.4";"     1.8";"     1.3"
"1742";"BU0363TA02";"Amsterdam                               ";"BU0363TA02";"     0.0";"     0.0";"     1.0";"     5.0";"     8.2";"     2.4";"     2.0";"     1.1"
"1743";"BU0363TA03";"Amsterdam                               ";"BU0363TA03";"     0.1";"     1.4";"     0.9";"     1.9";"     8.5";"     1.2";"     2.6";"     1.2"
"1744";"BU0363TA04";"Amsterdam                               ";"BU0363TA04";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1745";"BU0363TA05";"Amsterdam                               ";"BU0363TA05";"     0.5";"     2.0";"     0.0";"     2.0";"     2.0";"     1.4";"     2.5";"     0.9"
"1746";"BU0363TA06";"Amsterdam                               ";"BU0363TA06";"     0.0";"     0.5";"     0.0";"     0.2";"     0.2";"     2.4";"     3.4";"     1.9"
"1747";"BU0363TA07";"Amsterdam                               ";"BU0363TA07";"     0.1";"     0.1";"     0.0";"     1.8";"     1.8";"     1.9";"     3.2";"     1.6"
"1748";"WK0363TB  ";"Amsterdam                               ";"WK0363TB  ";"     1.1";"     4.7";"     0.2";"     3.5";"     4.7";"     0.7";"     0.7";"     1.1"
"1749";"BU0363TB01";"Amsterdam                               ";"BU0363TB01";"     0.7";"     3.9";"     0.0";"     1.6";"     3.9";"     0.8";"     0.9";"     1.2"
"1750";"BU0363TB02";"Amsterdam                               ";"BU0363TB02";"     1.7";"     5.9";"     0.5";"     6.2";"     5.8";"     0.5";"     0.5";"     0.9"
"1751";"WK0363TC  ";"Amsterdam                               ";"WK0363TC  ";"     2.2";"    10.7";"     0.8";"    13.4";"     8.7";"     0.6";"     0.9";"     1.4"
"1752";"BU0363TC01";"Amsterdam                               ";"BU0363TC01";"     0.3";"     2.5";"     1.9";"    11.3";"     3.8";"     0.5";"     0.5";"     1.6"
"1753";"BU0363TC02";"Amsterdam                               ";"BU0363TC02";"     2.5";"    11.8";"     0.2";"    12.2";"     8.6";"     0.5";"     0.9";"     1.4"
"1754";"BU0363TC03";"Amsterdam                               ";"BU0363TC03";"     3.8";"    17.3";"     0.8";"    19.3";"    14.6";"     1.0";"     1.3";"     0.9"
"1755";"BU0363TC04";"Amsterdam                               ";"BU0363TC04";"     1.2";"     8.7";"     0.0";"     8.7";"     5.5";"     0.6";"     0.7";"     1.6"
"1756";"BU0363TC05";"Amsterdam                               ";"BU0363TC05";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1757";"WK0363TD  ";"Amsterdam                               ";"WK0363TD  ";"     1.1";"     7.0";"     0.4";"     8.7";"     7.8";"     0.8";"     2.0";"     1.2"
"1758";"BU0363TD01";"Amsterdam                               ";"BU0363TD01";"     1.4";"     7.8";"     0.9";"    13.6";"    12.8";"     1.0";"     2.1";"     0.9"
"1759";"BU0363TD02";"Amsterdam                               ";"BU0363TD02";"     1.9";"    12.0";"     0.5";"    12.7";"     9.3";"     0.7";"     1.7";"     1.1"
"1760";"BU0363TD03";"Amsterdam                               ";"BU0363TD03";"     0.0";"     0.2";"     0.0";"     0.0";"     2.1";"     0.6";"     2.4";"     1.6"
"1761";"BU0363TD04";"Amsterdam                               ";"BU0363TD04";"     0.0";"     0.0";"     0.0";"     0.0";"     1.0";"     0.2";"     2.3";"     1.7"
"1762";"WK0363TE  ";"Amsterdam                               ";"WK0363TE  ";"     0.7";"     7.4";"     0.4";"     5.8";"     3.9";"     0.9";"     0.9";"     2.0"
