"ID";"DistrictsAndNeighbourhoods";"MunicipalityName_1";"Encoding_3";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes_90"
"1319";"BU0363EK04";"Amsterdam                               ";"BU0363EK04";"     3.9";"    37.8";"    19.5";"    26.2";"    51.2";"     0.3";"     1.2";"     3.1"
"1320";"WK0363EL  ";"Amsterdam                               ";"WK0363EL  ";"     3.9";"    26.9";"    16.5";"    25.8";"    51.0";"     0.5";"     0.8";"     3.5"
"1321";"BU0363EL01";"Amsterdam                               ";"BU0363EL01";"     3.1";"    28.5";"    15.1";"    26.3";"    46.0";"     0.4";"     0.9";"     3.3"
"1322";"BU0363EL02";"Amsterdam                               ";"BU0363EL02";"     4.4";"    30.2";"    18.9";"    28.2";"    57.7";"     0.4";"     0.7";"     3.4"
"1323";"BU0363EL03";"Amsterdam                               ";"BU0363EL03";"     3.9";"    18.8";"    13.7";"    20.6";"    43.9";"     0.8";"     0.7";"     3.8"
"1324";"WK0363EM  ";"Amsterdam                               ";"WK0363EM  ";"     4.7";"    40.6";"    21.6";"    24.4";"    49.4";"     0.5";"     1.7";"     2.4"
"1325";"BU0363EM01";"Amsterdam                               ";"BU0363EM01";"     3.9";"    38.4";"    18.8";"    22.5";"    44.1";"     0.7";"     1.8";"     2.4"
"1326";"BU0363EM02";"Amsterdam                               ";"BU0363EM02";"     4.7";"    42.8";"    23.2";"    26.1";"    54.0";"     0.4";"     1.6";"     2.7"
"1327";"BU0363EM03";"Amsterdam                               ";"BU0363EM03";"     4.5";"    34.9";"    18.5";"    20.0";"    39.7";"     0.5";"     1.5";"     2.1"
"1328";"BU0363EM04";"Amsterdam                               ";"BU0363EM04";"     5.4";"    42.9";"    23.3";"    26.2";"    53.6";"     0.4";"     1.7";"     2.4"
"1329";"WK0363EN  ";"Amsterdam                               ";"WK0363EN  ";"     5.2";"    39.3";"    24.2";"    30.8";"    68.1";"     0.4";"     1.3";"     3.0"
"1330";"BU0363EN01";"Amsterdam                               ";"BU0363EN01";"     4.3";"    40.2";"    25.6";"    28.3";"    64.0";"     0.2";"     1.2";"     3.1"
"1331";"BU0363EN02";"Amsterdam                               ";"BU0363EN02";"     4.8";"    36.2";"    23.9";"    29.9";"    67.3";"     0.3";"     1.1";"     3.2"
"1332";"BU0363EN03";"Amsterdam                               ";"BU0363EN03";"     5.9";"    45.7";"    25.4";"    35.0";"    77.3";"     0.5";"     1.5";"     2.8"
"1333";"BU0363EN04";"Amsterdam                               ";"BU0363EN04";"     5.8";"    39.3";"    23.1";"    31.0";"    66.7";"     0.4";"     1.5";"     2.8"
"1334";"WK0363EP  ";"Amsterdam                               ";"WK0363EP  ";"     9.2";"    55.5";"    32.6";"    46.6";"   116.0";"     0.5";"     1.2";"     3.1"
"1335";"BU0363EP01";"Amsterdam                               ";"BU0363EP01";"    10.1";"    56.5";"    36.4";"    53.0";"   126.3";"     0.5";"     1.1";"     3.3"
"1336";"BU0363EP02";"Amsterdam                               ";"BU0363EP02";"     8.7";"    55.0";"    30.3";"    42.6";"   109.7";"     0.5";"     1.3";"     3.0"
"1337";"WK0363EQ  ";"Amsterdam                               ";"WK0363EQ  ";"    11.1";"    70.0";"    49.8";"    54.9";"   150.8";"     0.4";"     1.0";"     3.2"
"1338";"BU0363EQ01";"Amsterdam                               ";"BU0363EQ01";"    11.1";"    70.0";"    49.8";"    54.9";"   150.8";"     0.4";"     1.0";"     3.2"
"1339";"WK0363ER  ";"Amsterdam                               ";"WK0363ER  ";"     4.1";"    21.4";"    11.8";"    12.1";"    39.5";"     0.5";"     1.6";"     1.8"
"1340";"BU0363ER01";"Amsterdam                               ";"BU0363ER01";"     4.0";"    19.0";"    10.1";"    10.7";"    37.5";"     0.4";"     1.5";"     1.6"
"1341";"BU0363ER02";"Amsterdam                               ";"BU0363ER02";"     4.3";"    23.3";"    13.2";"    13.1";"    41.0";"     0.6";"     1.7";"     1.9"
"1342";"WK0363ES  ";"Amsterdam                               ";"WK0363ES  ";"     9.5";"    59.7";"    32.5";"    44.4";"   123.3";"     0.4";"     1.0";"     3.1"
"1343";"BU0363ES01";"Amsterdam                               ";"BU0363ES01";"     6.7";"    49.2";"    26.5";"    36.7";"    88.1";"     0.4";"     1.4";"     2.7"
"1344";"BU0363ES02";"Amsterdam                               ";"BU0363ES02";"     8.4";"    55.1";"    24.2";"    41.8";"   109.8";"     0.4";"     1.0";"     3.2"
"1345";"BU0363ES03";"Amsterdam                               ";"BU0363ES03";"    13.3";"    74.3";"    47.8";"    53.9";"   169.3";"     0.4";"     0.7";"     3.4"
"1346";"WK0363ET  ";"Amsterdam                               ";"WK0363ET  ";"     3.8";"    29.9";"    15.9";"    22.0";"    72.8";"     0.6";"     1.3";"     2.2"
"1347";"BU0363ET01";"Amsterdam                               ";"BU0363ET01";"     4.1";"    32.7";"    17.4";"    24.4";"    77.3";"     0.5";"     1.3";"     2.2"
"1348";"BU0363ET02";"Amsterdam                               ";"BU0363ET02";"     3.2";"    22.8";"    12.0";"    15.9";"    61.2";"     0.9";"     1.3";"     2.2"
"1349";"WK0363EU  ";"Amsterdam                               ";"WK0363EU  ";"     8.4";"    48.2";"    31.1";"    38.5";"   122.6";"     0.6";"     0.6";"     3.0"
"1350";"BU0363EU01";"Amsterdam                               ";"BU0363EU01";"     6.5";"    47.5";"    21.0";"    34.6";"    89.8";"     0.5";"     0.9";"     2.7"
"1351";"BU0363EU02";"Amsterdam                               ";"BU0363EU02";"     6.7";"    35.5";"    16.3";"    27.9";"    84.6";"     0.9";"     0.5";"     3.0"
"1352";"BU0363EU03";"Amsterdam                               ";"BU0363EU03";"    11.6";"    61.4";"    54.5";"    52.2";"   188.4";"     0.5";"     0.5";"     3.3"
"1353";"WK0363EV  ";"Amsterdam                               ";"WK0363EV  ";"     6.9";"    30.4";"    27.0";"    29.6";"   111.6";"     1.0";"     0.7";"     3.2"
"1354";"BU0363EV01";"Amsterdam                               ";"BU0363EV01";"     5.5";"    23.2";"     7.7";"    18.1";"    60.9";"     1.2";"     0.7";"     3.1"
"1355";"BU0363EV02";"Amsterdam                               ";"BU0363EV02";"     8.3";"    37.5";"    46.1";"    41.0";"   161.8";"     0.8";"     0.7";"     3.2"
"1356";"WK0363FA  ";"Amsterdam                               ";"WK0363FA  ";"     0.5";"     1.0";"     0.0";"     4.1";"     4.3";"     1.7";"     1.1";"     1.4"
"1357";"BU0363FA01";"Amsterdam                               ";"BU0363FA01";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     4.1";"     5.3";"     4.1"
"1358";"BU0363FA02";"Amsterdam                               ";"BU0363FA02";"     0.0";"     0.0";"     0.0";"     0.0";"     0.0";"     2.8";"     3.5";"     3.9"
"1359";"BU0363FA03";"Amsterdam                               ";"BU0363FA03";"     0.0";"     0.0";"     0.3";"     3.9";"     1.9";"     2.8";"     3.7";"     4.4"
"1360";"BU0363FA04";"Amsterdam                               ";"BU0363FA04";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1361";"BU0363FA05";"Amsterdam                               ";"BU0363FA05";"     1.0";"     2.0";"     1.0";"     4.3";"     7.3";"     2.2";"     1.3";"     0.6"
"1362";"BU0363FA06";"Amsterdam                               ";"BU0363FA06";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1363";"BU0363FA07";"Amsterdam                               ";"BU0363FA07";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1364";"BU0363FA08";"Amsterdam                               ";"BU0363FA08";"     0.5";"     1.1";"     0.0";"     4.3";"     4.7";"     1.6";"     0.7";"     1.0"
"1365";"WK0363FB  ";"Amsterdam                               ";"WK0363FB  ";"     4.7";"     8.7";"     2.7";"     2.7";"     3.6";"     0.4";"     1.7";"     3.8"
"1366";"BU0363FB01";"Amsterdam                               ";"BU0363FB01";"     0.0";"     0.0";"     0.0";"     0.6";"     0.1";"     1.8";"     3.6";"     3.4"
"1367";"BU0363FB02";"Amsterdam                               ";"BU0363FB02";"     2.4";"     3.5";"     0.6";"     1.5";"     1.8";"     0.9";"     2.3";"     4.0"
"1368";"BU0363FB03";"Amsterdam                               ";"BU0363FB03";"     3.9";"     6.9";"     2.2";"     2.4";"     3.2";"     0.4";"     1.8";"     3.5"
"1369";"BU0363FB04";"Amsterdam                               ";"BU0363FB04";"     2.3";"     5.1";"     1.1";"     1.4";"     2.4";"     0.7";"     1.5";"     2.9"
"1370";"BU0363FB05";"Amsterdam                               ";"BU0363FB05";"     5.0";"     7.2";"     2.5";"     1.8";"     2.0";"     0.3";"     2.0";"     4.4"
"1371";"BU0363FB06";"Amsterdam                               ";"BU0363FB06";"     6.0";"    10.1";"     2.9";"     2.7";"     3.5";"     0.3";"     1.6";"     4.0"
"1372";"BU0363FB07";"Amsterdam                               ";"BU0363FB07";"     6.2";"    13.9";"     4.7";"     4.8";"     6.4";"     0.3";"     1.2";"     3.6"
