"ID";"DistrictsAndNeighbourhoods";"MunicipalityName";"Encoding";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes"
"1479";"BU03639413";"Amsterdam                               ";"BU03639413";"     2.0";"    10.3";"     2.0";"     3.0";"     3.0";"     0.9";"     1.7";"     3.2"
"1480";"WK036395  ";"Amsterdam                               ";"WK036395  ";"     0.0";"     0.2";"     0.2";"     0.0";"     0.0";"     1.7";"     2.0";"     3.0"
"1481";"BU03639500";"Amsterdam                               ";"BU03639500";"     0.0";"     0.2";"     0.2";"     0.0";"     0.0";"     1.8";"     2.0";"     3.0"
"1482";"BU03639501";"Amsterdam                               ";"BU03639501";"     0.0";"     0.3";"     0.3";"     0.0";"     1.5";"     1.9";"     3.1";"     4.2"
"1483";"BU03639502";"Amsterdam                               ";"BU03639502";"     1.0";"     0.0";"     0.0";"     1.0";"     1.0";"     0.7";"     2.3";"     3.2"
"1484";"WK036396  ";"Amsterdam                               ";"WK036396  ";"     1.0";"     6.0";"     1.7";"     2.2";"     2.6";"     0.7";"     1.3";"     1.5"
"1485";"BU03639600";"Amsterdam                               ";"BU03639600";"     0.6";"     2.4";"     1.2";"     2.6";"     2.4";"     0.8";"     1.9";"     0.7"
"1486";"BU03639601";"Amsterdam                               ";"BU03639601";"     0.6";"     2.2";"     1.0";"     2.4";"     1.8";"     0.9";"     1.6";"     0.9"
"1487";"BU03639602";"Amsterdam                               ";"BU03639602";"     1.2";"     4.4";"     1.9";"     0.8";"     2.8";"     0.6";"     1.5";"     1.1"
"1488";"BU03639603";"Amsterdam                               ";"BU03639603";"     2.1";"    15.1";"     2.9";"     3.7";"     3.8";"     0.6";"     0.4";"     1.7"
"1489";"BU03639604";"Amsterdam                               ";"BU03639604";"     1.4";"    11.4";"     2.8";"     2.8";"     3.8";"     0.4";"     0.5";"     2.2"
"1490";"BU03639605";"Amsterdam                               ";"BU03639605";"     1.1";"     6.9";"     1.7";"     1.7";"     2.3";"     0.7";"     1.2";"     2.4"
"1491";"BU03639606";"Amsterdam                               ";"BU03639606";"     1.0";"     6.6";"     1.6";"     1.6";"     2.5";"     0.9";"     1.1";"     2.3"
"1492";"WK036397  ";"Amsterdam                               ";"WK036397  ";"     0.8";"     4.5";"     0.3";"     1.5";"     1.1";"     0.6";"     1.4";"     2.8"
"1493";"BU03639700";"Amsterdam                               ";"BU03639700";"     1.6";"     8.8";"     1.0";"     2.4";"     1.7";"     0.4";"     0.9";"     2.5"
"1494";"BU03639701";"Amsterdam                               ";"BU03639701";"     0.7";"     3.9";"     0.0";"     1.3";"     1.4";"     0.7";"     1.3";"     2.8"
"1495";"BU03639702";"Amsterdam                               ";"BU03639702";"     0.4";"     2.1";"     0.0";"     0.8";"     0.4";"     0.7";"     1.8";"     3.1"
"1496";"BU03639703";"Amsterdam                               ";"BU03639703";"     0.6";"     3.4";"     0.1";"     1.4";"     1.2";"     0.7";"     1.5";"     3.0"
"1497";"WK036398  ";"Amsterdam                               ";"WK036398  ";"     1.0";"     0.0";"     0.0";"     1.0";"     0.0";"     0.3";"     2.7";"     3.6"
"1498";"BU03639800";"Amsterdam                               ";"BU03639800";"     1.0";"     0.0";"     0.0";"     1.0";"     0.0";"     0.3";"     2.6";"     3.5"
"1499";"BU03639801";"Amsterdam                               ";"BU03639801";"     0.7";"     0.0";"     0.0";"     0.8";"     0.0";"     0.7";"     3.1";"     4.0"
