"ID";"DistrictsAndNeighbourhoods";"MunicipalityName";"Encoding";"supermarkets_within_1km";"food_shops_within_1km";"cafes_within_1km";"cafeterias_within_1km";"restaurants_within_1km";"distance_to_primary_school";"distance_to_secondary_school";"DistanceToTrainStationAllTypes"
"1194";"BU03634706";"Amsterdam                               ";"BU03634706";"     8.1";"    73.4";"    29.2";"    70.2";"   141.7";"     0.5";"     0.4";"     1.9"
"1195";"BU03634707";"Amsterdam                               ";"BU03634707";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1196";"BU03634708";"Amsterdam                               ";"BU03634708";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       ."
"1197";"BU03634709";"Amsterdam                               ";"BU03634709";"     8.0";"    86.2";"    36.7";"    86.5";"   167.8";"     0.6";"     0.4";"     2.1"
"1198";"WK036348  ";"Amsterdam                               ";"WK036348  ";"     6.4";"    30.6";"     6.7";"    22.0";"    51.6";"     0.4";"     0.8";"     1.6"
"1199";"BU03634800";"Amsterdam                               ";"BU03634800";"     9.9";"    49.5";"    12.3";"    32.8";"    84.1";"     0.2";"     0.5";"     1.8"
"1200";"BU03634801";"Amsterdam                               ";"BU03634801";"     8.0";"    39.2";"     8.4";"    26.4";"    63.0";"     0.2";"     0.7";"     1.5"
"1201";"BU03634802";"Amsterdam                               ";"BU03634802";"     7.8";"    37.4";"     8.1";"    25.6";"    62.3";"     0.3";"     0.9";"     1.6"
"1202";"BU03634803";"Amsterdam                               ";"BU03634803";"     6.8";"    31.1";"     7.3";"    20.0";"    54.2";"     0.6";"     1.0";"     2.0"
"1203";"BU03634804";"Amsterdam                               ";"BU03634804";"     0.1";"     0.5";"     1.0";"     1.2";"     0.7";"     1.0";"     1.0";"     2.2"
"1204";"BU03634805";"Amsterdam                               ";"BU03634805";"     4.4";"    21.5";"     4.1";"    18.6";"    36.3";"     0.3";"     0.7";"     1.3"
"1205";"WK036349  ";"Amsterdam                               ";"WK036349  ";"     5.1";"    30.7";"     3.9";"    19.3";"    37.3";"     0.3";"     0.4";"     1.3"
"1206";"BU03634900";"Amsterdam                               ";"BU03634900";"     4.9";"    26.3";"     3.2";"    17.9";"    37.1";"     0.6";"     0.3";"     1.3"
"1207";"BU03634901";"Amsterdam                               ";"BU03634901";"     5.0";"    31.0";"     8.6";"    22.9";"    50.8";"     0.3";"     0.2";"     1.4"
"1208";"BU03634902";"Amsterdam                               ";"BU03634902";"     5.0";"    34.9";"     5.0";"    20.7";"    53.0";"     0.3";"     0.4";"     1.7"
"1209";"BU03634903";"Amsterdam                               ";"BU03634903";"     5.6";"    35.0";"     3.9";"    19.9";"    46.4";"     0.3";"     0.3";"     1.5"
